municipality_id;municipality_name;pensions
10101;Eisenstadt;32,774
10201;Rust;24,956
10301;Breitenbrunn am Neusiedler See;30,022
10302;Donnerskirchen;27,442
10303;Großhöflein;30
10304;Hornstein;29,246
10305;Klingenbach;25,814
10306;Leithaprodersdorf;26,12
10307;Mörbisch am See;22,71
10308;Müllendorf;29,97
10309;Neufeld an der Leitha;28,897
10310;Oggau am Neusiedler See;24,984
10311;Oslip;25,512
10312;Purbach am Neusiedler See;26,898
10313;Sankt Margarethen im Burgenland;24,527
10314;Schützen am Gebirge;27,082
10315;Siegendorf;28,054
10316;Steinbrunn;28,796
10317;Trausdorf an der Wulka;29,742
10318;Wimpassing an der Leitha;29,367
10319;Wulkaprodersdorf;29,179
10320;Loretto;32,049
10321;Stotzing;23,527
10322;Zillingtal;27,405
10323;Zagersdorf;25,462
10401;Bocksdorf;24,133
10402;Burgauberg-Neudauberg;22,731
10403;Eberau;24,075
10404;Gerersdorf-Sulz;23,503
10405;Güssing;26,249
10406;Güttenbach;22,04
10407;Heiligenbrunn;21,629
10408;Kukmirn;23,205
10409;Neuberg im Burgenland;22,11
10410;Neustift bei Güssing;21,26
10411;Olbendorf;24,168
10412;Ollersdorf im Burgenland;24,047
10413;Sankt Michael im Burgenland;23,862
10414;Stegersbach;25,971
10415;Stinatz;23,944
10416;Strem;21,684
10417;Tobaj;23,201
10418;Hackerberg;23,394
10419;Wörterberg;25,138
10420;Großmürbisch;24,309
10421;Inzenhof;23,547
10422;Kleinmürbisch;21,411
10423;Tschanigraben;22,618
10424;Heugraben;22,782
10425;Rohr im Burgenland;22,257
10426;Bildein;22,064
10427;Rauchwart;21,99
10428;Moschendorf;23,116
10501;Deutsch Kaltenbrunn;23,477
10502;Eltendorf;22,105
10503;Heiligenkreuz im Lafnitztal;23,274
10504;Jennersdorf;23,589
10505;Minihof-Liebau;22,32
10506;Mogersdorf;21,999
10507;Neuhaus am Klausenbach;22,018
10508;Rudersdorf;25,029
10509;Sankt Martin an der Raab;22,019
10510;Weichselbaum;20,013
10511;Königsdorf;21,621
10512;Mühlgraben;20,322
10601;Draßburg;26,414
10602;Forchtenstein;26,213
10603;Hirm;28,005
10604;Loipersbach im Burgenland;25,294
10605;Marz;26,191
10606;Mattersburg;27,764
10607;Neudörfl;25,999
10608;Pöttelsdorf;28,11
10609;Pöttsching;28
10610;Rohrbach bei Mattersburg;24,481
10611;Bad Sauerbrunn;29,634
10612;Schattendorf;25,727
10613;Sieggraben;24,419
10614;Sigleß;28,912
10615;Wiesen;25,68
10616;Antau;23,703
10617;Baumgarten;27,97
10618;Zemendorf-Stöttera;27,042
10619;Krensdorf;26,224
10701;Andau;24,288
10702;Apetlon;24,521
10703;Bruckneudorf;27,552
10704;Deutsch Jahrndorf;26,303
10705;Frauenkirchen;25,406
10706;Gattendorf;25,852
10707;Gols;25,267
10708;Halbturn;26,527
10709;Illmitz;25,237
10710;Jois;27,114
10711;Kittsee;26,069
10712;Mönchhof;24,751
10713;Neusiedl am See;29,178
10714;Nickelsdorf;26,128
10715;Pama;26,164
10716;Pamhagen;23,191
10717;Parndorf;26,608
10718;Podersdorf am See;25,765
10719;Sankt Andrä am Zicksee;25,838
10720;Tadten;23,845
10721;Wallern im Burgenland;23,189
10722;Weiden am See;27,816
10723;Winden am See;26,691
10724;Zurndorf;26,262
10725;Neudorf;26,109
10726;Potzneusiedl;26,842
10727;Edelstal;28,149
10801;Deutschkreutz;25,414
10802;Draßmarkt;23,174
10803;Frankenau-Unterpullendorf;25,64
10804;Großwarasdorf;25,859
10805;Horitschon;24,445
10806;Kaisersdorf;26,217
10807;Kobersdorf;25,435
10808;Lackenbach;23,805
10809;Lockenhaus;23,954
10810;Lutzmannsburg;24,26
10811;Mannersdorf an der Rabnitz;24,706
10812;Markt Sankt Martin;26,031
10813;Neckenmarkt;21,764
10814;Neutal;27,361
10815;Nikitsch;24,324
10816;Oberpullendorf;26,673
10817;Pilgersdorf;24,196
10818;Piringsdorf;22,571
10819;Raiding;24,149
10820;Ritzing;26,08
10821;Steinberg-Dörfl;26,867
10822;Stoob;25,577
10823;Weppersdorf;24,546
10824;Lackendorf;25,845
10825;Unterfrauenhaid;25,815
10826;Unterrabnitz-Schwendgraben;24,971
10827;Weingraben;24,527
10828;Oberloisdorf;24,097
10901;Bad Tatzmannsdorf;30,366
10902;Bernstein;25,15
10903;Deutsch Schützen-Eisenberg;23,358
10904;Grafenschachen;24,853
10905;Großpetersdorf;24,88
10906;Hannersdorf;24
10907;Kemeten;23,622
10908;Kohfidisch;23,468
10909;Litzelsdorf;23,863
10910;Loipersdorf-Kitzladen;23,532
10911;Mariasdorf;23,808
10912;Markt Allhau;25,988
10913;Markt Neuhodis;23,102
10914;Mischendorf;22,034
10915;Oberdorf im Burgenland;22,952
10916;Oberschützen;28,712
10917;Oberwart;27,332
10918;Pinkafeld;25,612
10919;Rechnitz;23,061
10920;Riedlingsdorf;24,724
10921;Rotenturm an der Pinka;24,379
10922;Schachendorf;24,6
10923;Stadtschlaining;24,01
10924;Unterkohlstätten;24,174
10925;Unterwart;23,282
10926;Weiden bei Rechnitz;23,144
10927;Wiesfleck;22,986
10928;Wolfau;22,852
10929;Neustift an der Lafnitz;23,001
10930;Jabing;22,348
10931;Badersdorf;21,674
10932;Schandorf;26,949
20101;Klagenfurt am Wörthersee;29,341
20201;Villach;27,212
20302;Dellach;22,11
20305;Hermagor-Pressegger See;25,35
20306;Kirchbach;20,462
20307;Kötschach-Mauthen;23,895
20316;St. Stefan im Gailtal;23,742
20320;Gitschtal;21,5
20321;Lesachtal;18,371
20402;Ebenthal in Kärnten;25,287
20403;Feistritz im Rosental;25,017
20405;Ferlach;24,719
20409;Grafenstein;26,2
20412;Keutschach am See;26,666
20414;Köttmannsdorf;26,757
20415;Krumpendorf am Wörthersee;33,679
20416;Ludmannsdorf;24,402
20417;Maria Rain;28,861
20418;Maria Saal;28,987
20419;Maria Wörth;29,542
20421;Moosburg;24,74
20424;Pörtschach am Wörther See;28,947
20425;Poggersdorf;25,389
20428;St. Margareten im Rosental;22,436
20432;Schiefling am Wörthersee;22,446
20435;Techelsberg am Wörther See;24,551
20441;Zell;19,568
20442;Magdalensberg;26,33
20501;Althofen;24,847
20502;Brückl;23,894
20503;Deutsch-Griffen;19,073
20504;Eberstein;22,721
20505;Friesach;22,589
20506;Glödnitz;22,696
20508;Gurk;21,777
20509;Guttaring;22,763
20511;Hüttenberg;20,643
20512;Kappel am Krappfeld;26,08
20513;Klein St. Paul;22,889
20515;Liebenfels;22,546
20518;Metnitz;20,91
20519;Micheldorf;22,166
20520;Mölbling;23,986
20523;St. Georgen am Längsee;27,083
20527;St. Veit an der Glan;25,493
20530;Straßburg;21,112
20531;Weitensfeld im Gurktal;21,688
20534;Frauenstein;26,803
20601;Bad Kleinkirchheim;23,46
20602;Baldramsdorf;24,345
20603;Berg im Drautal;20,428
20604;Dellach im Drautal;21,938
20605;Großkirchheim;20,128
20607;Flattach;24,433
20608;Gmünd in Kärnten;22,907
20609;Greifenburg;22,289
20610;Heiligenblut am Großglockner;22,168
20611;Irschen;22,058
20613;Kleblach-Lind;21,682
20616;Lendorf;22,6
20618;Mallnitz;24,885
20619;Malta;21,557
20620;Millstatt am See;24,474
20622;Mörtschach;19,024
20624;Mühldorf;22,664
20625;Oberdrauburg;22,46
20627;Obervellach;22,782
20630;Radenthein;24,463
20631;Rangersdorf;20,251
20632;Rennweg am Katschberg;22,477
20633;Sachsenburg;24,583
