municipality_id;municipality_name;sh_pop_15_29;pop_15_29
10101;Eisenstadt;16,19;2.412
10201;Rust;14,15;283
10301;Breitenbrunn am Neusiedler See;12;226
10302;Donnerskirchen;13,04;240
10303;Großhöflein;13,9;295
10304;Hornstein;13,57;431
10305;Klingenbach;13,57;166
10306;Leithaprodersdorf;16,35;199
10307;Mörbisch am See;13,46;300
10308;Müllendorf;15,1;209
10309;Neufeld an der Leitha;15,11;542
10310;Oggau am Neusiedler See;13,18;229
10311;Oslip;13,38;170
10312;Purbach am Neusiedler See;12,73;369
10313;Sankt Margarethen im Burgenland;13,49;362
10314;Schützen am Gebirge;14,54;206
10315;Siegendorf;14,21;443
10316;Steinbrunn;14,6;428
10317;Trausdorf an der Wulka;11,27;233
10318;Wimpassing an der Leitha;12,69;216
10319;Wulkaprodersdorf;13,67;271
10320;Loretto;11,55;55
10321;Stotzing;13,97;115
10322;Zillingtal;15,04;149
10323;Zagersdorf;13,44;148
10401;Bocksdorf;14,72;120
10402;Burgauberg-Neudauberg;15,29;204
10403;Eberau;10,24;95
10404;Gerersdorf-Sulz;11,86;119
10405;Güssing;13,26;486
10406;Güttenbach;10,99;97
10407;Heiligenbrunn;10,08;75
10408;Kukmirn;12,2;245
10409;Neuberg im Burgenland;12,6;122
10410;Neustift bei Güssing;10,31;46
10411;Olbendorf;11,19;163
10412;Ollersdorf im Burgenland;13,46;124
10413;Sankt Michael im Burgenland;11,75;116
10414;Stegersbach;15,14;407
10415;Stinatz;15,68;191
10416;Strem;10,09;88
10417;Tobaj;14,08;189
10418;Hackerberg;10,99;40
10419;Wörterberg;15,24;73
10420;Großmürbisch;13,62;32
10421;Inzenhof;9,7;32
10422;Kleinmürbisch;15,72;36
10423;Tschanigraben;10,45;7
10424;Heugraben;11,01;25
10425;Rohr im Burgenland;10,29;39
10426;Bildein;11,08;37
10427;Rauchwart;11,09;51
10428;Moschendorf;11,92;46
10501;Deutsch Kaltenbrunn;13,12;225
10502;Eltendorf;11,88;107
10503;Heiligenkreuz im Lafnitztal;13,15;166
10504;Jennersdorf;13,64;562
10505;Minihof-Liebau;14,46;154
10506;Mogersdorf;13,07;150
10507;Neuhaus am Klausenbach;8,59;79
10508;Rudersdorf;14,88;319
10509;Sankt Martin an der Raab;12,72;250
10510;Weichselbaum;11,74;83
10511;Königsdorf;12,08;94
10512;Mühlgraben;15,14;58
10601;Draßburg;13,78;169
10602;Forchtenstein;15,04;421
10603;Hirm;14,13;143
10604;Loipersbach im Burgenland;17,07;205
10605;Marz;13,6;285
10606;Mattersburg;16,9;1.274
10607;Neudörfl;18,23;873
10608;Pöttelsdorf;15,65;120
10609;Pöttsching;15,39;461
10610;Rohrbach bei Mattersburg;15,12;398
10611;Bad Sauerbrunn;14,85;336
10612;Schattendorf;13,72;323
10613;Sieggraben;12,23;153
10614;Sigleß;13,61;155
10615;Wiesen;13,72;370
10616;Antau;13,28;102
10617;Baumgarten;12,54;111
10618;Zemendorf-Stöttera;17,02;215
10619;Krensdorf;14,04;90
10701;Andau;11,13;252
10702;Apetlon;9,97;174
10703;Bruckneudorf;16,61;507
10704;Deutsch Jahrndorf;10,86;68
10705;Frauenkirchen;13,91;397
10706;Gattendorf;12,68;179
10707;Gols;15,75;621
10708;Halbturn;11,95;230
10709;Illmitz;12,45;296
10710;Jois;12,38;201
10711;Kittsee;10,06;344
10712;Mönchhof;14,32;317
10713;Neusiedl am See;15,46;1.336
10714;Nickelsdorf;13,1;237
10715;Pama;13,8;170
10716;Pamhagen;13,79;216
10717;Parndorf;17,38;880
10718;Podersdorf am See;12,69;270
10719;Sankt Andrä am Zicksee;11,71;163
10720;Tadten;12,47;145
10721;Wallern im Burgenland;12,74;213
10722;Weiden am See;12,23;309
10723;Winden am See;14,81;201
10724;Zurndorf;11,36;259
10725;Neudorf;12,36;87
10726;Potzneusiedl;10,59;66
10727;Edelstal;12,28;96
10801;Deutschkreutz;12,46;388
10802;Draßmarkt;14,87;204
10803;Frankenau-Unterpullendorf;13,24;141
10804;Großwarasdorf;10,56;143
10805;Horitschon;12,59;229
10806;Kaisersdorf;14,1;86
10807;Kobersdorf;14,05;264
10808;Lackenbach;13,43;155
10809;Lockenhaus;12,85;259
