municipality_id;municipality_name;sh_pop_ahs;pop_ahs
10101;Eisenstadt;8,11;677
10201;Rust;4,56;47
10301;Breitenbrunn am Neusiedler See;6,32;64
10302;Donnerskirchen;5,73;59
10303;Großhöflein;4,78;59
10304;Hornstein;6,7;117
10305;Klingenbach;4,7;32
10306;Leithaprodersdorf;3,68;25
10307;Mörbisch am See;3,56;40
10308;Müllendorf;5,75;45
10309;Neufeld an der Leitha;5,89;112
10310;Oggau am Neusiedler See;2,98;28
10311;Oslip;5,56;38
10312;Purbach am Neusiedler See;6,18;101
10313;Sankt Margarethen im Burgenland;4,24;64
10314;Schützen am Gebirge;6,51;49
10315;Siegendorf;6,17;105
10316;Steinbrunn;5,61;85
10317;Trausdorf an der Wulka;6,43;74
10318;Wimpassing an der Leitha;6,44;65
10319;Wulkaprodersdorf;7,26;79
10320;Loretto;7,34;21
10321;Stotzing;5,07;23
10322;Zillingtal;7,16;42
10323;Zagersdorf;5,29;31
10401;Bocksdorf;2,87;12
10402;Burgauberg-Neudauberg;4,43;33
10403;Eberau;6,22;29
10404;Gerersdorf-Sulz;5,49;29
10405;Güssing;6,65;126
10406;Güttenbach;5,58;28
10407;Heiligenbrunn;5,45;22
10408;Kukmirn;4,88;52
10409;Neuberg im Burgenland;5,01;28
10410;Neustift bei Güssing;3,49;9
10411;Olbendorf;3,41;27
10412;Ollersdorf im Burgenland;4,71;25
10413;Sankt Michael im Burgenland;5,75;30
10414;Stegersbach;4,85;70
10415;Stinatz;6,36;42
10416;Strem;3,98;17
10417;Tobaj;5,93;47
10418;Hackerberg;3,14;7
10419;Wörterberg;5,6;15
10420;Großmürbisch;6,67;9
10421;Inzenhof;5,78;10
10422;Kleinmürbisch;2,27;3
10423;Tschanigraben;-;-
10424;Heugraben;4,51;6
10425;Rohr im Burgenland;1,4;3
10426;Bildein;6,32;12
10427;Rauchwart;3,15;8
10428;Moschendorf;6,93;14
10501;Deutsch Kaltenbrunn;5,57;56
10502;Eltendorf;6,43;34
10503;Heiligenkreuz im Lafnitztal;3,74;25
10504;Jennersdorf;6,09;145
10505;Minihof-Liebau;5,45;33
10506;Mogersdorf;6,11;38
10507;Neuhaus am Klausenbach;3;15
10508;Rudersdorf;5,67;70
10509;Sankt Martin an der Raab;4,42;49
10510;Weichselbaum;4,38;18
10511;Königsdorf;6,08;25
10512;Mühlgraben;2,45;6
10601;Draßburg;6,48;42
10602;Forchtenstein;4,65;70
10603;Hirm;6,17;37
10604;Loipersbach im Burgenland;4,33;28
10605;Marz;5,66;65
10606;Mattersburg;5,78;242
10607;Neudörfl;6,07;155
10608;Pöttelsdorf;5,24;22
10609;Pöttsching;5,91;95
10610;Rohrbach bei Mattersburg;4,9;71
10611;Bad Sauerbrunn;7,63;89
10612;Schattendorf;5,75;77
10613;Sieggraben;3,88;27
10614;Sigleß;8,36;54
10615;Wiesen;5,71;84
10616;Antau;4,93;23
10617;Baumgarten;6,64;32
10618;Zemendorf-Stöttera;6,01;43
10619;Krensdorf;2,03;7
10701;Andau;2,97;38
10702;Apetlon;3,17;30
10703;Bruckneudorf;6,41;121
10704;Deutsch Jahrndorf;4,44;15
10705;Frauenkirchen;4,33;70
10706;Gattendorf;3,74;28
10707;Gols;4,62;103
10708;Halbturn;3,4;35
10709;Illmitz;4,78;64
10710;Jois;5,38;50
10711;Kittsee;7,64;133
10712;Mönchhof;4,24;54
