municipality_id;municipality_name;sh_pop_bms_bhs;pop_bms_bhs
10101;Eisenstadt;35,94;3.000
10201;Rust;33,59;346
10301;Breitenbrunn am Neusiedler See;37,15;376
10302;Donnerskirchen;38,58;397
10303;Großhöflein;37,6;464
10304;Hornstein;38,91;679
10305;Klingenbach;38,91;265
10306;Leithaprodersdorf;41,18;280
10307;Mörbisch am See;34,93;393
10308;Müllendorf;36,19;283
10309;Neufeld an der Leitha;37,66;716
10310;Oggau am Neusiedler See;32,37;304
10311;Oslip;35,82;245
10312;Purbach am Neusiedler See;37,06;606
10313;Sankt Margarethen im Burgenland;34,95;527
10314;Schützen am Gebirge;37,05;279
10315;Siegendorf;33,8;575
10316;Steinbrunn;36,2;548
10317;Trausdorf an der Wulka;39,01;449
10318;Wimpassing an der Leitha;39,01;394
10319;Wulkaprodersdorf;38,33;417
10320;Loretto;42,31;121
10321;Stotzing;33,92;154
10322;Zillingtal;40,03;235
10323;Zagersdorf;37,71;221
10401;Bocksdorf;32,54;136
10402;Burgauberg-Neudauberg;31,28;233
10403;Eberau;34,55;161
10404;Gerersdorf-Sulz;33,71;178
10405;Güssing;31,94;605
10406;Güttenbach;34,46;173
10407;Heiligenbrunn;29,21;118
10408;Kukmirn;33,05;352
10409;Neuberg im Burgenland;37,57;210
10410;Neustift bei Güssing;22,87;59
10411;Olbendorf;33,12;262
10412;Ollersdorf im Burgenland;36,16;192
10413;Sankt Michael im Burgenland;37,36;195
10414;Stegersbach;34,1;492
10415;Stinatz;35,76;236
10416;Strem;34,89;149
10417;Tobaj;35,86;284
10418;Hackerberg;34,53;77
10419;Wörterberg;31,34;84
10420;Großmürbisch;31,11;42
10421;Inzenhof;33,53;58
10422;Kleinmürbisch;26,52;35
10423;Tschanigraben;26,47;9
10424;Heugraben;26,32;35
10425;Rohr im Burgenland;26,51;57
10426;Bildein;35,79;68
10427;Rauchwart;29,92;76
10428;Moschendorf;33,66;68
10501;Deutsch Kaltenbrunn;33,93;341
10502;Eltendorf;33,27;176
10503;Heiligenkreuz im Lafnitztal;28,1;188
10504;Jennersdorf;30,73;731
10505;Minihof-Liebau;30,86;187
10506;Mogersdorf;29,42;183
10507;Neuhaus am Klausenbach;28,4;142
10508;Rudersdorf;36,76;454
10509;Sankt Martin an der Raab;29,96;332
10510;Weichselbaum;30,17;124
10511;Königsdorf;34,79;143
10512;Mühlgraben;28,16;69
10601;Draßburg;37,81;245
10602;Forchtenstein;34,49;519
10603;Hirm;34,33;206
10604;Loipersbach im Burgenland;30,5;197
10605;Marz;37,8;434
10606;Mattersburg;32,74;1.371
10607;Neudörfl;33,46;855
10608;Pöttelsdorf;40;168
10609;Pöttsching;37,69;606
10610;Rohrbach bei Mattersburg;30,71;445
10611;Bad Sauerbrunn;38,51;449
10612;Schattendorf;36,4;487
10613;Sieggraben;31,9;222
10614;Sigleß;40,87;264
10615;Wiesen;33,85;498
10616;Antau;32,98;154
10617;Baumgarten;36,72;177
10618;Zemendorf-Stöttera;35,75;256
10619;Krensdorf;33,04;114
10701;Andau;37,01;473
10702;Apetlon;37,32;353
10703;Bruckneudorf;36,95;698
10704;Deutsch Jahrndorf;33,43;113
10705;Frauenkirchen;35,89;580
10706;Gattendorf;35,51;266
10707;Gols;42,8;954
10708;Halbturn;40,27;414
10709;Illmitz;43,28;580
10710;Jois;39,78;370
10711;Kittsee;39,23;683
10712;Mönchhof;37;471
10713;Neusiedl am See;38,1;1.925
10714;Nickelsdorf;33,37;337
10715;Pama;37,24;248
10716;Pamhagen;35,91;311
10717;Parndorf;36,02;1.004
10718;Podersdorf am See;44,91;534
10719;Sankt Andrä am Zicksee;39,41;296
10720;Tadten;35,97;232
10721;Wallern im Burgenland;37,64;361
10722;Weiden am See;42,18;596
10723;Winden am See;31,12;234
10724;Zurndorf;34,83;435
10725;Neudorf;42,2;165
10726;Potzneusiedl;36,95;126
10727;Edelstal;34,58;148
10801;Deutschkreutz;37,67;625
10802;Draßmarkt;41,94;307
10803;Frankenau-Unterpullendorf;37,29;220
10804;Großwarasdorf;31,23;228
10805;Horitschon;34,57;355
10806;Kaisersdorf;37,62;120
10807;Kobersdorf;35,02;373
10808;Lackenbach;37,82;233
10809;Lockenhaus;35,33;390
10810;Lutzmannsburg;42,19;200
10811;Mannersdorf an der Rabnitz;37,59;371
10812;Markt Sankt Martin;37,5;249
10813;Neckenmarkt;36,51;333
10814;Neutal;34,12;203
10815;Nikitsch;37,22;246
10816;Oberpullendorf;37,31;672
10817;Pilgersdorf;38,06;365
10818;Piringsdorf;39,91;186
10819;Raiding;39,44;168
10820;Ritzing;37,34;177
10821;Steinberg-Dörfl;42,88;304
10822;Stoob;37,69;280
10823;Weppersdorf;36,72;354
10824;Lackendorf;36,13;125
10825;Unterfrauenhaid;36,61;134
10826;Unterrabnitz-Schwendgraben;33,24;121
10827;Weingraben;35,96;64
10828;Oberloisdorf;42,6;193
10901;Bad Tatzmannsdorf;38,78;337
10902;Bernstein;42,63;483
10903;Deutsch Schützen-Eisenberg;34,39;206
10904;Grafenschachen;37,75;282
10905;Großpetersdorf;34,89;679
10906;Hannersdorf;37,69;150
10907;Kemeten;35,19;309
10908;Kohfidisch;34,76;284
10909;Litzelsdorf;34,12;217
10910;Loipersdorf-Kitzladen;29,79;224
10911;Mariasdorf;37,65;244
10912;Markt Allhau;36,34;367
10913;Markt Neuhodis;37,8;141
10914;Mischendorf;33,82;278
10915;Oberdorf im Burgenland;33,04;185
10916;Oberschützen;34,09;422
10917;Oberwart;35,09;1.440
10918;Pinkafeld;31,29;959
10919;Rechnitz;33,7;518
10920;Riedlingsdorf;33,71;301
10921;Rotenturm an der Pinka;36,85;304
10922;Schachendorf;33,76;132
10923;Stadtschlaining;34,01;366
10924;Unterkohlstätten;44,62;249
10925;Unterwart;35,41;193
10926;Weiden bei Rechnitz;36,6;157
10927;Wiesfleck;31,49;217
10928;Wolfau;33,29;270
10929;Neustift an der Lafnitz;30,53;145
10930;Jabing;36,21;151
10931;Badersdorf;33,33;52
10932;Schandorf;41,67;55
20101;Klagenfurt am Wörthersee;29,57;16.854
20201;Villach;28,98;10.228
20302;Dellach;36,55;235
20305;Hermagor-Pressegger See;34,31;1.233
20306;Kirchbach;35,89;468
20307;Kötschach-Mauthen;37,69;661
20316;St. Stefan im Gailtal;33,87;275
20320;Gitschtal;34,46;225
20321;Lesachtal;34,69;221
20402;Ebenthal in Kärnten;31,78;1.442
20403;Feistritz im Rosental;33,97;447
20405;Ferlach;33,69;1.291
20409;Grafenstein;32,36;545
20412;Keutschach am See;31,82;428
20414;Köttmannsdorf;35,9;601
20415;Krumpendorf am Wörthersee;33,06;615
20416;Ludmannsdorf;32,77;327
20417;Maria Rain;36,38;526
20418;Maria Saal;37,22;773
20419;Maria Wörth;30,9;267
20421;Moosburg;33,59;783
20424;Pörtschach am Wörther See;31,32;493
20425;Poggersdorf;37,3;671
20428;St. Margareten im Rosental;37,76;219
20432;Schiefling am Wörthersee;29,06;437
20435;Techelsberg am Wörther See;30,69;383
20441;Zell;37,15;120
20442;Magdalensberg;37,26;693
20501;Althofen;27,41;719
20502;Brückl;29,56;454
20503;Deutsch-Griffen;28,63;136
20504;Eberstein;33,74;221
20505;Friesach;33,72;880
20506;Glödnitz;31,24;139
20508;Gurk;33,59;217
20509;Guttaring;34,66;287
20511;Hüttenberg;25,81;191
20512;Kappel am Krappfeld;32,36;343
20513;Klein St. Paul;28,82;260
20515;Liebenfels;32,65;592
20518;Metnitz;36,06;362
20519;Micheldorf;31,2;171
20520;Mölbling;30,34;220
20523;St. Georgen am Längsee;34,74;691
20527;St. Veit an der Glan;29,05;1.977
20530;Straßburg;33,81;352
20531;Weitensfeld im Gurktal;28,89;314
20534;Frauenstein;35,41;683
20601;Bad Kleinkirchheim;32,59;308
20602;Baldramsdorf;29,77;312
20603;Berg im Drautal;33,97;232
20604;Dellach im Drautal;30,67;257
20605;Großkirchheim;28,95;198
20607;Flattach;30,78;201
20608;Gmünd in Kärnten;30,48;413
20609;Greifenburg;29,92;275
20610;Heiligenblut am Großglockner;32,34;162
20611;Irschen;31,84;340
20613;Kleblach-Lind;37,86;237
20616;Lendorf;34,74;337
20618;Mallnitz;33,84;133
20619;Malta;29,01;311
20620;Millstatt am See;34,28;627
20622;Mörtschach;26,9;124
20624;Mühldorf;33,27;172
20625;Oberdrauburg;35,78;219
20627;Obervellach;29,44;343
20630;Radenthein;31,73;982
20631;Rangersdorf;27,36;252
20632;Rennweg am Katschberg;34,8;333
20633;Sachsenburg;29,65;209
20634;Seeboden am Millstätter See;33,81;1.150
20635;Spittal an der Drau;27,57;2.308
20636;Stall;22,07;188
20637;Steinfeld;30,73;327
20638;Trebesing;32,46;211
20639;Weißensee;44,16;170
20640;Winklern;28,16;185
20642;Krems in Kärnten;30,75;274
20643;Lurnfeld;33,13;484
20644;Reißeck;30,52;340
20701;Afritz am See;32,65;240
20702;Arnoldstein;31,24;1.211
20703;Arriach;32,47;237
20705;Bad Bleiberg;26,66;309
20707;Feistritz an der Gail;35,69;111
20708;Feld am See;36,08;210
20710;Ferndorf;33,28;384
20711;Finkenstein am Faaker See;33,29;1.715
20712;Fresach;35,41;239
20713;Hohenthurn;35,83;177
20719;Nötsch im Gailtal;33,15;420
20720;Paternion;31,17;974
20721;Rosegg;30,39;327
20722;St. Jakob im Rosental;34,39;806
20723;Stockenboi;31,19;272
20724;Treffen am Ossiacher See;35,11;822
20725;Velden am Wörther See;33,59;1.643
20726;Weißenstein;35,9;569
20727;Wernberg;32,39;997
20801;Bleiburg;32,33;733
20802;Diex;37,26;155
20803;Eberndorf;34,23;1.105
20804;Eisenkappel-Vellach;33,64;405
20805;Feistritz ob Bleiburg;32,17;398
20806;Gallizien;34,08;333
20807;Globasnitz;30,04;277
20808;Griffen;31,12;590
20810;Neuhaus;34,38;187
20812;Ruden;27,78;232
20813;St. Kanzian am Klopeiner See;34,75;853
20815;Sittersdorf;33,48;377
20817;Völkermarkt;32,33;1.923
20901;Bad St. Leonhard im Lavanttal;30,78;698
20905;Frantschach-St. Gertraud;27,1;367
20909;Lavamünd;27,91;431
20911;Preitenegg;36,98;179
20912;Reichenfels;32,79;324
20913;St. Andrä;29,31;1.582
20914;St. Georgen im Lavanttal;27,21;298
20918;St. Paul im Lavanttal;28,78;499
20923;Wolfsberg;30,59;4.131
21001;Albeck;32,25;168
21002;Feldkirchen in Kärnten;30;2.360
21003;Glanegg;31,48;317
21004;Gnesau;34,54;191
21005;Himmelberg;34,05;429
21006;Ossiach;35,84;143
21007;Reichenau;27,92;263
21008;St. Urban;29,63;253
21009;Steindorf am Ossiacher See;34,17;684
21010;Steuerberg;27,59;256
30101;Krems an der Donau;28,75;3.981
30201;St. Pölten;29,23;8.897
30301;Waidhofen an der Ybbs;34,09;1.997
30401;Wiener Neustadt;27,37;6.963
30501;Allhartsberg;35,19;416
