municipality_id;municipality_name;sh_pop_foreign;pop_foreign
10101;Eisenstadt;15,67;2.334
10201;Rust;7,9;158
10301;Breitenbrunn am Neusiedler See;6,64;125
10302;Donnerskirchen;6,79;125
10303;Großhöflein;6,27;133
10304;Hornstein;11,78;374
10305;Klingenbach;18,15;222
10306;Leithaprodersdorf;5,09;62
10307;Mörbisch am See;7,85;175
10308;Müllendorf;6,21;86
10309;Neufeld an der Leitha;9,37;336
10310;Oggau am Neusiedler See;3,91;68
10311;Oslip;7,95;101
10312;Purbach am Neusiedler See;6,48;188
10313;Sankt Margarethen im Burgenland;4,17;112
10314;Schützen am Gebirge;9,32;132
10315;Siegendorf;15,52;484
10316;Steinbrunn;9,14;268
10317;Trausdorf an der Wulka;7,55;156
10318;Wimpassing an der Leitha;9,22;157
10319;Wulkaprodersdorf;12,11;240
10320;Loretto;3,36;16
10321;Stotzing;8,26;68
10322;Zillingtal;10,7;106
10323;Zagersdorf;12,08;133
10401;Bocksdorf;3,68;30
10402;Burgauberg-Neudauberg;5,17;69
10403;Eberau;11,53;107
10404;Gerersdorf-Sulz;7,28;73
10405;Güssing;10,94;401
10406;Güttenbach;9,4;83
10407;Heiligenbrunn;5,11;38
10408;Kukmirn;6,47;130
10409;Neuberg im Burgenland;3,41;33
10410;Neustift bei Güssing;6,5;29
10411;Olbendorf;5,77;84
10412;Ollersdorf im Burgenland;4,67;43
10413;Sankt Michael im Burgenland;7,19;71
10414;Stegersbach;11,16;300
10415;Stinatz;14,2;173
10416;Strem;7;61
10417;Tobaj;7,68;103
10418;Hackerberg;7,69;28
10419;Wörterberg;3,55;17
10420;Großmürbisch;5,11;12
10421;Inzenhof;7,88;26
10422;Kleinmürbisch;1,75;4
10423;Tschanigraben;2,99;2
10424;Heugraben;6,17;14
10425;Rohr im Burgenland;3,96;15
10426;Bildein;13,17;44
10427;Rauchwart;5,43;25
10428;Moschendorf;6,74;26
10501;Deutsch Kaltenbrunn;3,97;68
10502;Eltendorf;6,77;61
10503;Heiligenkreuz im Lafnitztal;12,92;163
10504;Jennersdorf;6,16;254
10505;Minihof-Liebau;6,57;70
10506;Mogersdorf;11,32;130
10507;Neuhaus am Klausenbach;7,28;67
10508;Rudersdorf;4,66;100
10509;Sankt Martin an der Raab;3,82;75
10510;Weichselbaum;6,08;43
10511;Königsdorf;5,27;41
10512;Mühlgraben;3,92;15
10601;Draßburg;12,48;153
10602;Forchtenstein;6,04;169
10603;Hirm;12,45;126
10604;Loipersbach im Burgenland;8,83;106
10605;Marz;7,45;156
10606;Mattersburg;10,61;800
10607;Neudörfl;13,6;651
10608;Pöttelsdorf;4,56;35
10609;Pöttsching;6,68;200
10610;Rohrbach bei Mattersburg;8,55;225
10611;Bad Sauerbrunn;8,13;184
10612;Schattendorf;6,24;147
10613;Sieggraben;6,24;78
10614;Sigleß;5,97;68
10615;Wiesen;5,97;161
10616;Antau;7,55;58
10617;Baumgarten;10,06;89
10618;Zemendorf-Stöttera;9,03;114
10619;Krensdorf;6,71;43
10701;Andau;6,05;137
10702;Apetlon;2;35
10703;Bruckneudorf;9,96;304
10704;Deutsch Jahrndorf;19,33;121
10705;Frauenkirchen;9,57;273
10706;Gattendorf;20,82;294
10707;Gols;6,95;274
10708;Halbturn;4,16;80
10709;Illmitz;4,63;110
10710;Jois;9,42;153
10711;Kittsee;51,02;1.744
10712;Mönchhof;5,15;114
10713;Neusiedl am See;15,15;1.309
10714;Nickelsdorf;22,39;405
10715;Pama;20,21;249
10716;Pamhagen;3,38;53
10717;Parndorf;19,7;997
10718;Podersdorf am See;6,77;144
10719;Sankt Andrä am Zicksee;6,03;84
10720;Tadten;6,62;77
10721;Wallern im Burgenland;5,26;88
10722;Weiden am See;8,67;219
10723;Winden am See;7,07;96
10724;Zurndorf;15,92;363
10725;Neudorf;9,23;65
10726;Potzneusiedl;19,42;121
10727;Edelstal;32,1;251
10801;Deutschkreutz;8,19;255
10802;Draßmarkt;7,22;99
10803;Frankenau-Unterpullendorf;7,51;80
10804;Großwarasdorf;9,23;125
10805;Horitschon;7,59;138
10806;Kaisersdorf;7,05;43
10807;Kobersdorf;3,83;72
10808;Lackenbach;9,19;106
10809;Lockenhaus;7,04;142
10810;Lutzmannsburg;10,33;87
10811;Mannersdorf an der Rabnitz;8,46;151
10812;Markt Sankt Martin;6,86;86
10813;Neckenmarkt;3,28;55
10814;Neutal;7,61;83
10815;Nikitsch;8,99;126
10816;Oberpullendorf;12,07;394
10817;Pilgersdorf;2,96;48
10818;Piringsdorf;2,92;25
10819;Raiding;2,66;24
10820;Ritzing;7,79;70
10821;Steinberg-Dörfl;5;64
10822;Stoob;7,96;109
10823;Weppersdorf;4,41;80
10824;Lackendorf;6,53;38
10825;Unterfrauenhaid;5,9;38
10826;Unterrabnitz-Schwendgraben;3,13;20
10827;Weingraben;13,52;48
10828;Oberloisdorf;4,29;34
10901;Bad Tatzmannsdorf;10,75;172
10902;Bernstein;5,34;111
10903;Deutsch Schützen-Eisenberg;6;65
10904;Grafenschachen;4,72;59
10905;Großpetersdorf;8,59;305
10906;Hannersdorf;7,1;53
10907;Kemeten;6,29;94
10908;Kohfidisch;5,66;82
10909;Litzelsdorf;4,85;55
10910;Loipersdorf-Kitzladen;4,8;65
10911;Mariasdorf;2,37;27
10912;Markt Allhau;4,81;90
10913;Markt Neuhodis;7,13;47
10914;Mischendorf;3,34;51
10915;Oberdorf im Burgenland;4,85;49
10916;Oberschützen;10,4;255
10917;Oberwart;15,17;1.162
10918;Pinkafeld;10,35;609
10919;Rechnitz;8,78;258
10920;Riedlingsdorf;7,65;126
10921;Rotenturm an der Pinka;8,37;120
10922;Schachendorf;18,74;140
10923;Stadtschlaining;8,08;162
10924;Unterkohlstätten;4,49;45
10925;Unterwart;19,08;183
10926;Weiden bei Rechnitz;5,54;46
10927;Wiesfleck;1,55;18
10928;Wolfau;5,23;75
10929;Neustift an der Lafnitz;1,74;14
10930;Jabing;9,55;72
10931;Badersdorf;1,39;4
10932;Schandorf;15,15;40
20101;Klagenfurt am Wörthersee;17,76;18.073
20201;Villach;20,76;13.130
20302;Dellach;5,45;66
20305;Hermagor-Pressegger See;11,92;824
20306;Kirchbach;4,79;121
20307;Kötschach-Mauthen;8,07;268
20316;St. Stefan im Gailtal;6,9;108
20320;Gitschtal;10,32;128
20321;Lesachtal;3,76;48
20402;Ebenthal in Kärnten;8,49;688
20403;Feistritz im Rosental;11,07;276
20405;Ferlach;14,11;1.017
20409;Grafenstein;7,8;234
20412;Keutschach am See;7,97;193
20414;Köttmannsdorf;8,66;270
20415;Krumpendorf am Wörthersee;12,01;421
20416;Ludmannsdorf;5,27;95
20417;Maria Rain;8,89;234
20418;Maria Saal;6,52;254
20419;Maria Wörth;12,25;198
20421;Moosburg;4,97;222
20424;Pörtschach am Wörther See;13,01;372
20425;Poggersdorf;4,09;133
20428;St. Margareten im Rosental;4,85;53
20432;Schiefling am Wörthersee;13,3;352
20435;Techelsberg am Wörther See;7,77;171
20441;Zell;3,3;20
20442;Magdalensberg;6,99;251
20501;Althofen;6,71;315
20502;Brückl;6,27;172
20503;Deutsch-Griffen;4,88;43
20504;Eberstein;5,92;72
20505;Friesach;3,71;181
20506;Glödnitz;5,77;47
20508;Gurk;3,29;39
20509;Guttaring;5,2;77
20511;Hüttenberg;5,32;71
20512;Kappel am Krappfeld;5,83;114
20513;Klein St. Paul;2,41;42
20515;Liebenfels;5,65;192
20518;Metnitz;2,81;54
20519;Micheldorf;6,31;63
20520;Mölbling;4,16;56
20523;St. Georgen am Längsee;5,72;204
20527;St. Veit an der Glan;12,95;1.578
20530;Straßburg;4,12;82
20531;Weitensfeld im Gurktal;5,27;106
20534;Frauenstein;4,69;166
20601;Bad Kleinkirchheim;19,37;325
20602;Baldramsdorf;4,66;86
20603;Berg im Drautal;4,06;51
20604;Dellach im Drautal;5,13;82
20605;Großkirchheim;5,5;72
20607;Flattach;5,49;65
20608;Gmünd in Kärnten;3,35;85
20609;Greifenburg;7,86;136
20610;Heiligenblut am Großglockner;5,03;49
20611;Irschen;3,81;74
20613;Kleblach-Lind;2,4;28
20616;Lendorf;3,83;65
20618;Mallnitz;13,69;105
20619;Malta;3,57;69
20620;Millstatt am See;11,54;399
20622;Mörtschach;2,42;20
20624;Mühldorf;6,43;64
20625;Oberdrauburg;8,47;100
20627;Obervellach;7,61;165
20630;Radenthein;8,67;500
20631;Rangersdorf;4,3;73
20632;Rennweg am Katschberg;3,81;66
20633;Sachsenburg;10,03;134
20634;Seeboden am Millstätter See;8,97;591
20635;Spittal an der Drau;13,95;2.113
20636;Stall;2,14;32
20637;Steinfeld;6,34;128
20638;Trebesing;6,64;79
20639;Weißensee;8,82;68
