municipality_id;municipality_name;sh_pop_lehre;pop_lehre
10101;Eisenstadt;25,02;2.089
10201;Rust;40;412
10301;Breitenbrunn am Neusiedler See;35,97;364
10302;Donnerskirchen;35,96;370
10303;Großhöflein;32,41;400
10304;Hornstein;30,09;525
10305;Klingenbach;32,31;220
10306;Leithaprodersdorf;34,85;237
10307;Mörbisch am See;39,73;447
10308;Müllendorf;29,03;227
10309;Neufeld an der Leitha;30,3;576
10310;Oggau am Neusiedler See;39,62;372
10311;Oslip;32,89;225
10312;Purbach am Neusiedler See;36,94;604
10313;Sankt Margarethen im Burgenland;38,4;579
10314;Schützen am Gebirge;30,81;232
10315;Siegendorf;34,74;591
10316;Steinbrunn;34,87;528
10317;Trausdorf an der Wulka;31,54;363
10318;Wimpassing an der Leitha;35,64;360
10319;Wulkaprodersdorf;30,42;331
10320;Loretto;38,81;111
10321;Stotzing;43,83;199
10322;Zillingtal;33,73;198
10323;Zagersdorf;29,52;173
10401;Bocksdorf;44,26;185
10402;Burgauberg-Neudauberg;42,55;317
10403;Eberau;31,55;147
10404;Gerersdorf-Sulz;36,17;191
10405;Güssing;31,26;592
10406;Güttenbach;31,47;158
10407;Heiligenbrunn;33,91;137
10408;Kukmirn;35,02;373
10409;Neuberg im Burgenland;38,1;213
10410;Neustift bei Güssing;44,57;115
10411;Olbendorf;39,7;314
10412;Ollersdorf im Burgenland;37,29;198
10413;Sankt Michael im Burgenland;35,63;186
10414;Stegersbach;32,29;466
10415;Stinatz;30,61;202
10416;Strem;32,55;139
10417;Tobaj;35,35;280
10418;Hackerberg;37,67;84
10419;Wörterberg;42,91;115
10420;Großmürbisch;34,81;47
10421;Inzenhof;38,73;67
10422;Kleinmürbisch;50;66
10423;Tschanigraben;50;17
10424;Heugraben;49,62;66
10425;Rohr im Burgenland;42,79;92
10426;Bildein;37,89;72
10427;Rauchwart;39,76;101
10428;Moschendorf;32,18;65
10501;Deutsch Kaltenbrunn;36,92;371
10502;Eltendorf;36,67;194
10503;Heiligenkreuz im Lafnitztal;41,85;280
10504;Jennersdorf;39,97;951
10505;Minihof-Liebau;43,73;265
10506;Mogersdorf;42,6;265
10507;Neuhaus am Klausenbach;44;220
10508;Rudersdorf;34,49;426
10509;Sankt Martin an der Raab;42,15;467
10510;Weichselbaum;41,85;172
10511;Königsdorf;37,96;156
10512;Mühlgraben;49,8;122
10601;Draßburg;33,02;214
10602;Forchtenstein;36,68;552
10603;Hirm;41,67;250
10604;Loipersbach im Burgenland;45,2;292
10605;Marz;32,93;378
10606;Mattersburg;33,13;1.387
10607;Neudörfl;35,26;901
10608;Pöttelsdorf;29,76;125
10609;Pöttsching;33,64;541
10610;Rohrbach bei Mattersburg;41,34;599
10611;Bad Sauerbrunn;28,56;333
10612;Schattendorf;37,44;501
10613;Sieggraben;41,09;286
10614;Sigleß;29,26;189
10615;Wiesen;37,87;557
10616;Antau;41,33;193
10617;Baumgarten;31,33;151
10618;Zemendorf-Stöttera;37,43;268
10619;Krensdorf;42,03;145
10701;Andau;34,27;438
10702;Apetlon;33,51;317
10703;Bruckneudorf;35,42;669
10704;Deutsch Jahrndorf;44,08;149
10705;Frauenkirchen;35,89;580
10706;Gattendorf;35,65;267
10707;Gols;27,86;621
10708;Halbturn;31,71;326
10709;Illmitz;30,37;407
10710;Jois;32,26;300
10711;Kittsee;27,51;479
10712;Mönchhof;35,74;455
10713;Neusiedl am See;25,83;1.305
10714;Nickelsdorf;37,23;376
10715;Pama;37,39;249
10716;Pamhagen;36,37;315
10717;Parndorf;33,8;942
10718;Podersdorf am See;27,42;326
10719;Sankt Andrä am Zicksee;33,29;250
10720;Tadten;32,56;210
10721;Wallern im Burgenland;33,16;318
10722;Weiden am See;26,4;373
10723;Winden am See;42,95;323
10724;Zurndorf;36,51;456
10725;Neudorf;27,11;106
10726;Potzneusiedl;35,19;120
10727;Edelstal;34,58;148
10801;Deutschkreutz;34;564
10802;Draßmarkt;33,61;246
10803;Frankenau-Unterpullendorf;37,46;221
10804;Großwarasdorf;37,26;272
10805;Horitschon;35,15;361
10806;Kaisersdorf;39,5;126
10807;Kobersdorf;42,16;449
10808;Lackenbach;39,94;246
10809;Lockenhaus;37,23;411
10810;Lutzmannsburg;36,5;173
10811;Mannersdorf an der Rabnitz;36,07;356
10812;Markt Sankt Martin;40,06;266
10813;Neckenmarkt;35,64;325
10814;Neutal;41,18;245
10815;Nikitsch;35,1;232
10816;Oberpullendorf;30,82;555
10817;Pilgersdorf;38,16;366
10818;Piringsdorf;39,48;184
10819;Raiding;37,56;160
10820;Ritzing;40,08;190
10821;Steinberg-Dörfl;32,72;232
10822;Stoob;36,07;268
10823;Weppersdorf;39,83;384
10824;Lackendorf;44,51;154
10825;Unterfrauenhaid;41,26;151
10826;Unterrabnitz-Schwendgraben;44,51;162
