municipality_id;municipality_name;sh_pop_pflichtschule;pop_pflichtschule
10101;Eisenstadt;12,59;1.051
10201;Rust;13,79;142
10301;Breitenbrunn am Neusiedler See;9,68;98
10302;Donnerskirchen;10,59;109
10303;Großhöflein;12,4;153
10304;Hornstein;14,33;250
10305;Klingenbach;16,89;115
10306;Leithaprodersdorf;9,85;67
10307;Mörbisch am See;14,49;163
10308;Müllendorf;14,71;115
10309;Neufeld an der Leitha;15,04;286
10310;Oggau am Neusiedler See;16,4;154
10311;Oslip;15,94;109
10312;Purbach am Neusiedler See;12,35;202
10313;Sankt Margarethen im Burgenland;12,53;189
10314;Schützen am Gebirge;13,55;102
10315;Siegendorf;16,87;287
10316;Steinbrunn;12,02;182
10317;Trausdorf an der Wulka;9,3;107
10318;Wimpassing an der Leitha;12,38;125
10319;Wulkaprodersdorf;14,34;156
10320;Loretto;9,44;27
10321;Stotzing;14,76;67
10322;Zillingtal;12,61;74
10323;Zagersdorf;12,97;76
10401;Bocksdorf;16,99;71
10402;Burgauberg-Neudauberg;17,45;130
10403;Eberau;20,6;96
10404;Gerersdorf-Sulz;19,51;103
10405;Güssing;20,22;383
10406;Güttenbach;21,51;108
10407;Heiligenbrunn;25,74;104
10408;Kukmirn;20;213
10409;Neuberg im Burgenland;17,89;100
10410;Neustift bei Güssing;24,81;64
10411;Olbendorf;18,58;147
10412;Ollersdorf im Burgenland;16,38;87
10413;Sankt Michael im Burgenland;14,18;74
10414;Stegersbach;20,93;302
10415;Stinatz;18,94;125
10416;Strem;22,25;95
10417;Tobaj;16,79;133
10418;Hackerberg;19,73;44
10419;Wörterberg;16,79;45
10420;Großmürbisch;18,52;25
10421;Inzenhof;22,54;39
10422;Kleinmürbisch;18,18;24
10423;Tschanigraben;20,59;7
10424;Heugraben;17,29;23
10425;Rohr im Burgenland;26,51;57
10426;Bildein;14,21;27
10427;Rauchwart;18,5;47
10428;Moschendorf;22,28;45
10501;Deutsch Kaltenbrunn;17,81;179
10502;Eltendorf;20,04;106
10503;Heiligenkreuz im Lafnitztal;21,82;146
10504;Jennersdorf;18,83;448
10505;Minihof-Liebau;18,32;111
10506;Mogersdorf;20,26;126
10507;Neuhaus am Klausenbach;19;95
10508;Rudersdorf;16,44;203
10509;Sankt Martin an der Raab;17,33;192
10510;Weichselbaum;18,98;78
10511;Königsdorf;20,44;84
10512;Mühlgraben;15,92;39
10601;Draßburg;16,82;109
10602;Forchtenstein;11,83;178
10603;Hirm;12,83;77
10604;Loipersbach im Burgenland;15,02;97
10605;Marz;15,59;179
10606;Mattersburg;16,91;708
10607;Neudörfl;17,73;453
10608;Pöttelsdorf;8,57;36
10609;Pöttsching;10,82;174
10610;Rohrbach bei Mattersburg;16,98;246
10611;Bad Sauerbrunn;11,49;134
10612;Schattendorf;14,35;192
10613;Sieggraben;15,52;108
10614;Sigleß;12,23;79
10615;Wiesen;14,07;207
10616;Antau;15,85;74
10617;Baumgarten;17,22;83
10618;Zemendorf-Stöttera;12,99;93
10619;Krensdorf;12,75;44
10701;Andau;22,3;285
10702;Apetlon;18,08;171
10703;Bruckneudorf;14,13;267
10704;Deutsch Jahrndorf;14,2;48
10705;Frauenkirchen;17,76;287
10706;Gattendorf;17,22;129
10707;Gols;13,19;294
10708;Halbturn;13,91;143
10709;Illmitz;13,58;182
10710;Jois;9,89;92
10711;Kittsee;14,42;251
10712;Mönchhof;16,58;211
10713;Neusiedl am See;11,34;573
10714;Nickelsdorf;17,33;175
10715;Pama;11,71;78
10716;Pamhagen;20,09;174
10717;Parndorf;18,77;523
10718;Podersdorf am See;10,77;128
10719;Sankt Andrä am Zicksee;14,91;112
10720;Tadten;20,16;130
10721;Wallern im Burgenland;22,21;213
10722;Weiden am See;8,85;125
10723;Winden am See;12,9;97
10724;Zurndorf;16,81;210
10725;Neudorf;18,41;72
10726;Potzneusiedl;17,6;60
10727;Edelstal;15,65;67
10801;Deutschkreutz;15,43;256
10802;Draßmarkt;13,66;100
10803;Frankenau-Unterpullendorf;11,86;70
10804;Großwarasdorf;17,26;126
10805;Horitschon;17,23;177
10806;Kaisersdorf;13,48;43
10807;Kobersdorf;14,08;150
10808;Lackenbach;14,29;88
10809;Lockenhaus;16,39;181
10810;Lutzmannsburg;10,55;50
10811;Mannersdorf an der Rabnitz;16,72;165
10812;Markt Sankt Martin;11,14;74
10813;Neckenmarkt;16,12;147
10814;Neutal;14,29;85
10815;Nikitsch;14,52;96
10816;Oberpullendorf;17,27;311
10817;Pilgersdorf;13,66;131
10818;Piringsdorf;12,02;56
10819;Raiding;14,32;61
10820;Ritzing;10,97;52
10821;Steinberg-Dörfl;10,86;77
10822;Stoob;12,11;90
10823;Weppersdorf;14,32;138
10824;Lackendorf;13,58;47
10825;Unterfrauenhaid;14,48;53
10826;Unterrabnitz-Schwendgraben;15,93;58
10827;Weingraben;22,47;40
10828;Oberloisdorf;13,91;63
10901;Bad Tatzmannsdorf;10,82;94
10902;Bernstein;13,06;148
10903;Deutsch Schützen-Eisenberg;20,87;125
10904;Grafenschachen;14,73;110
10905;Großpetersdorf;17,88;348
10906;Hannersdorf;16,83;67
10907;Kemeten;16,29;143
10908;Kohfidisch;18,73;153
10909;Litzelsdorf;15,41;98
10910;Loipersdorf-Kitzladen;20,74;156
10911;Mariasdorf;16,82;109
10912;Markt Allhau;12,97;131
10913;Markt Neuhodis;17,43;65
10914;Mischendorf;18;148
10915;Oberdorf im Burgenland;15,89;89
10916;Oberschützen;14,62;181
10917;Oberwart;18,42;756
10918;Pinkafeld;16,54;507
10919;Rechnitz;18,8;289
10920;Riedlingsdorf;17,36;155
10921;Rotenturm an der Pinka;13,21;109
10922;Schachendorf;20,2;79
10923;Stadtschlaining;19,8;213
10924;Unterkohlstätten;12,54;70
10925;Unterwart;19,45;106
10926;Weiden bei Rechnitz;16,78;72
10927;Wiesfleck;14,37;99
10928;Wolfau;10,36;84
10929;Neustift an der Lafnitz;13,47;64
10930;Jabing;18,47;77
10931;Badersdorf;19,23;30
10932;Schandorf;14,39;19
20101;Klagenfurt am Wörthersee;17,69;10.084
20201;Villach;16,46;5.808
20302;Dellach;9,8;63
20305;Hermagor-Pressegger See;10,43;375
20306;Kirchbach;7,67;100
20307;Kötschach-Mauthen;9,86;173
20316;St. Stefan im Gailtal;7,14;58
20320;Gitschtal;10,87;71
20321;Lesachtal;8,32;53
20402;Ebenthal in Kärnten;12,94;587
20403;Feistritz im Rosental;12,69;167
20405;Ferlach;15,94;611
20409;Grafenstein;10,33;174
20412;Keutschach am See;9,52;128
20414;Köttmannsdorf;10,04;168
20415;Krumpendorf am Wörthersee;8,92;166
20416;Ludmannsdorf;9,22;92
20417;Maria Rain;8,78;127
20418;Maria Saal;9,53;198
20419;Maria Wörth;8,68;75
20421;Moosburg;9,09;212
20424;Pörtschach am Wörther See;11,82;186
20425;Poggersdorf;9,45;170
20428;St. Margareten im Rosental;10,52;61
20432;Schiefling am Wörthersee;12,37;186
20435;Techelsberg am Wörther See;11,54;144
20441;Zell;9,91;32
20442;Magdalensberg;9,68;180
20501;Althofen;18,76;492
20502;Brückl;15,36;236
20503;Deutsch-Griffen;19,79;94
20504;Eberstein;15,27;100
20505;Friesach;12,26;320
20506;Glödnitz;11,01;49
20508;Gurk;15,02;97
20509;Guttaring;12,32;102
20511;Hüttenberg;14,19;105
20512;Kappel am Krappfeld;12,45;132
20513;Klein St. Paul;14,3;129
20515;Liebenfels;12,13;220
20518;Metnitz;11,16;112
20519;Micheldorf;15,33;84
20520;Mölbling;10,9;79
20523;St. Georgen am Längsee;10,81;215
20527;St. Veit an der Glan;18,5;1.259
20530;Straßburg;14,22;148
20531;Weitensfeld im Gurktal;11,59;126
20534;Frauenstein;7,47;144
20601;Bad Kleinkirchheim;14,71;139
20602;Baldramsdorf;10,4;109
20603;Berg im Drautal;8,64;59
20604;Dellach im Drautal;11,58;97
20605;Großkirchheim;10,96;75
20607;Flattach;10,87;71
20608;Gmünd in Kärnten;9,59;130
20609;Greifenburg;13,82;127
20610;Heiligenblut am Großglockner;7,98;40
20611;Irschen;8,71;93
20613;Kleblach-Lind;5,75;36
20616;Lendorf;8,56;83
20618;Mallnitz;8,14;32
20619;Malta;10,54;113
20620;Millstatt am See;9,19;168
20622;Mörtschach;12,36;57
20624;Mühldorf;12,38;64
20625;Oberdrauburg;16,01;98
20627;Obervellach;10,64;124
20630;Radenthein;11,53;357
20631;Rangersdorf;12,49;115
20632;Rennweg am Katschberg;8,88;85
20633;Sachsenburg;13,33;94
20634;Seeboden am Millstätter See;9,53;324
20635;Spittal an der Drau;16,61;1.391
20636;Stall;13,73;117
20637;Steinfeld;13,53;144
20638;Trebesing;10,15;66
20639;Weißensee;6,49;25
20640;Winklern;12,63;83
20642;Krems in Kärnten;11,67;104
20643;Lurnfeld;7,67;112
20644;Reißeck;9,16;102
20701;Afritz am See;9,8;72
20702;Arnoldstein;14,42;559
20703;Arriach;9,04;66
20705;Bad Bleiberg;14,24;165
20707;Feistritz an der Gail;7,72;24
20708;Feld am See;7,9;46
20710;Ferndorf;8,67;100
20711;Finkenstein am Faaker See;10,56;544
20712;Fresach;5,04;34
20713;Hohenthurn;9,11;45
20719;Nötsch im Gailtal;7,5;95
20720;Paternion;10,66;333
20721;Rosegg;8,74;94
20722;St. Jakob im Rosental;11,43;268
20723;Stockenboi;8,14;71
20724;Treffen am Ossiacher See;12,64;296
20725;Velden am Wörther See;10,45;511
20726;Weißenstein;8,33;132
20727;Wernberg;9,52;293
20801;Bleiburg;14,87;337
20802;Diex;6,97;29
20803;Eberndorf;12,27;396
20804;Eisenkappel-Vellach;16,03;193
20805;Feistritz ob Bleiburg;11,24;139
20806;Gallizien;8,8;86
20807;Globasnitz;11,61;107
20808;Griffen;12,18;231
20810;Neuhaus;11,95;65
20812;Ruden;11,98;100
20813;St. Kanzian am Klopeiner See;12,06;296
20815;Sittersdorf;10,57;119
20817;Völkermarkt;12,93;769
20901;Bad St. Leonhard im Lavanttal;13,54;307
20905;Frantschach-St. Gertraud;20,38;276
20909;Lavamünd;16,13;249
20911;Preitenegg;9,71;47
20912;Reichenfels;12,04;119
20913;St. Andrä;13,45;726
20914;St. Georgen im Lavanttal;12,79;140
20918;St. Paul im Lavanttal;13,73;238
20923;Wolfsberg;14,34;1.937
21001;Albeck;11,13;58
21002;Feldkirchen in Kärnten;14,21;1.118
21003;Glanegg;15,09;152
21004;Gnesau;9,22;51
21005;Himmelberg;10,71;135
21006;Ossiach;10,78;43
21007;Reichenau;12,74;120
21008;St. Urban;14,17;121
21009;Steindorf am Ossiacher See;11,19;224
21010;Steuerberg;13,9;129
30101;Krems an der Donau;21,1;2.922
30201;St. Pölten;22,46;6.837
30301;Waidhofen an der Ybbs;13,47;789
30401;Wiener Neustadt;25,65;6.526
30501;Allhartsberg;12,1;143
30502;Amstetten;23,75;3.125
30503;Ardagger;12,43;234
