municipality_id;municipality_name;sh_pop_uni;pop_uni
10101;Eisenstadt;26,45;2.208
10201;Rust;12,62;130
10301;Breitenbrunn am Neusiedler See;17,19;174
10302;Donnerskirchen;14,87;153
10303;Großhöflein;17,59;217
10304;Hornstein;16,68;291
10305;Klingenbach;11,89;81
10306;Leithaprodersdorf;14,12;96
10307;Mörbisch am See;10,84;122
10308;Müllendorf;20,08;157
10309;Neufeld an der Leitha;16,99;323
10310;Oggau am Neusiedler See;11,61;109
10311;Oslip;15,35;105
10312;Purbach am Neusiedler See;13,64;223
10313;Sankt Margarethen im Burgenland;14,12;213
10314;Schützen am Gebirge;18,59;140
10315;Siegendorf;14,58;248
10316;Steinbrunn;16,91;256
10317;Trausdorf an der Wulka;20,16;232
10318;Wimpassing an der Leitha;12,97;131
10319;Wulkaprodersdorf;16,91;184
10320;Loretto;9,44;27
10321;Stotzing;7,49;34
10322;Zillingtal;13,63;80
10323;Zagersdorf;19,8;116
10401;Bocksdorf;6,22;26
10402;Burgauberg-Neudauberg;8,72;65
10403;Eberau;13,3;62
10404;Gerersdorf-Sulz;10,61;56
10405;Güssing;16,58;314
10406;Güttenbach;12,55;63
10407;Heiligenbrunn;11,14;45
10408;Kukmirn;11,92;127
10409;Neuberg im Burgenland;6,44;36
10410;Neustift bei Güssing;7,75;20
10411;Olbendorf;8,6;68
10412;Ollersdorf im Burgenland;10,17;54
10413;Sankt Michael im Burgenland;12,84;67
10414;Stegersbach;12,68;183
10415;Stinatz;14,7;97
10416;Strem;10,3;44
10417;Tobaj;11,99;95
10418;Hackerberg;8,07;18
10419;Wörterberg;8,96;24
10420;Großmürbisch;15,56;21
10421;Inzenhof;5,2;9
10422;Kleinmürbisch;5,3;7
10423;Tschanigraben;2,94;1
10424;Heugraben;6,77;9
10425;Rohr im Burgenland;4,19;9
10426;Bildein;12,11;23
10427;Rauchwart;11,81;30
10428;Moschendorf;11,88;24
10501;Deutsch Kaltenbrunn;11,34;114
10502;Eltendorf;10,02;53
10503;Heiligenkreuz im Lafnitztal;8,22;55
10504;Jennersdorf;10,47;249
10505;Minihof-Liebau;7,1;43
10506;Mogersdorf;7,72;48
10507;Neuhaus am Klausenbach;8,6;43
10508;Rudersdorf;12,31;152
10509;Sankt Martin an der Raab;10,56;117
10510;Weichselbaum;9;37
10511;Königsdorf;6,81;28
10512;Mühlgraben;6,12;15
10601;Draßburg;12,35;80
10602;Forchtenstein;17,01;256
10603;Hirm;11,17;67
10604;Loipersbach im Burgenland;9,29;60
10605;Marz;13,68;157
10606;Mattersburg;17,22;721
10607;Neudörfl;13,54;346
10608;Pöttelsdorf;21,67;91
10609;Pöttsching;17,85;287
10610;Rohrbach bei Mattersburg;10,97;159
10611;Bad Sauerbrunn;21,44;250
10612;Schattendorf;11,81;158
10613;Sieggraben;11,49;80
10614;Sigleß;17,65;114
10615;Wiesen;14,21;209
10616;Antau;9,85;46
10617;Baumgarten;14,73;71
10618;Zemendorf-Stöttera;13,83;99
10619;Krensdorf;12,17;42
10701;Andau;6,42;82
10702;Apetlon;11,1;105
10703;Bruckneudorf;13,5;255
10704;Deutsch Jahrndorf;8,28;28
10705;Frauenkirchen;10,46;169
10706;Gattendorf;11,62;87
10707;Gols;16,15;360
10708;Halbturn;14,11;145
10709;Illmitz;12,76;171
10710;Jois;18,06;168
10711;Kittsee;18,84;328
10712;Mönchhof;10,68;136
10713;Neusiedl am See;24,72;1.249
10714;Nickelsdorf;12,08;122
10715;Pama;13,66;91
10716;Pamhagen;7,62;66
10717;Parndorf;11,41;318
10718;Podersdorf am See;16,9;201
10719;Sankt Andrä am Zicksee;12,38;93
10720;Tadten;11,32;73
10721;Wallern im Burgenland;6,99;67
10722;Weiden am See;22,58;319
10723;Winden am See;13,03;98
10724;Zurndorf;11,85;148
10725;Neudorf;12,28;48
10726;Potzneusiedl;10,26;35
10727;Edelstal;15,19;65
10801;Deutschkreutz;12,9;214
10802;Draßmarkt;10,79;79
10803;Frankenau-Unterpullendorf;13,39;79
10804;Großwarasdorf;14,25;104
10805;Horitschon;13,05;134
10806;Kaisersdorf;9,4;30
10807;Kobersdorf;8,73;93
10808;Lackenbach;7,95;49
10809;Lockenhaus;11,05;122
10810;Lutzmannsburg;10,76;51
10811;Mannersdorf an der Rabnitz;9,63;95
10812;Markt Sankt Martin;11,3;75
10813;Neckenmarkt;11,73;107
10814;Neutal;10,42;62
10815;Nikitsch;13,16;87
10816;Oberpullendorf;14,6;263
10817;Pilgersdorf;10,11;97
10818;Piringsdorf;8,58;40
10819;Raiding;8,69;37
10820;Ritzing;11,6;55
10821;Steinberg-Dörfl;13,54;96
10822;Stoob;14,13;105
10823;Weppersdorf;9,13;88
10824;Lackendorf;5,78;20
10825;Unterfrauenhaid;7,65;28
10826;Unterrabnitz-Schwendgraben;6,32;23
10827;Weingraben;11,8;21
10828;Oberloisdorf;8,83;40
10901;Bad Tatzmannsdorf;21,4;186
10902;Bernstein;12;136
10903;Deutsch Schützen-Eisenberg;8,35;50
10904;Grafenschachen;6,83;51
10905;Großpetersdorf;12,44;242
10906;Hannersdorf;11,56;46
10907;Kemeten;9;79
10908;Kohfidisch;8,45;69
10909;Litzelsdorf;9,28;59
10910;Loipersdorf-Kitzladen;5,45;41
10911;Mariasdorf;11,42;74
10912;Markt Allhau;15,15;153
10913;Markt Neuhodis;5,36;20
10914;Mischendorf;8,76;72
10915;Oberdorf im Burgenland;7,32;41
10916;Oberschützen;19,71;244
10917;Oberwart;16,08;660
10918;Pinkafeld;15,27;468
10919;Rechnitz;9,11;140
10920;Riedlingsdorf;9,29;83
10921;Rotenturm an der Pinka;12,36;102
10922;Schachendorf;16,11;63
10923;Stadtschlaining;9,85;106
10924;Unterkohlstätten;9,86;55
10925;Unterwart;7,89;43
10926;Weiden bei Rechnitz;9,32;40
10927;Wiesfleck;10,3;71
10928;Wolfau;10,6;86
10929;Neustift an der Lafnitz;8;38
10930;Jabing;11,51;48
10931;Badersdorf;5,77;9
10932;Schandorf;12,12;16
20101;Klagenfurt am Wörthersee;24,62;14.030
20201;Villach;19,37;6.835
20302;Dellach;11,04;71
20305;Hermagor-Pressegger See;14,69;528
20306;Kirchbach;8,67;113
20307;Kötschach-Mauthen;11,4;200
20316;St. Stefan im Gailtal;11,82;96
20320;Gitschtal;10,87;71
20321;Lesachtal;12,56;80
20402;Ebenthal in Kärnten;13,14;596
20403;Feistritz im Rosental;15,2;200
20405;Ferlach;13,88;532
20409;Grafenstein;15,08;254
20412;Keutschach am See;22,9;308
20414;Köttmannsdorf;15,41;258
20415;Krumpendorf am Wörthersee;36,61;681
20416;Ludmannsdorf;17,03;170
20417;Maria Rain;21,72;314
20418;Maria Saal;23,59;490
20419;Maria Wörth;33,56;290
20421;Moosburg;17,67;412
20424;Pörtschach am Wörther See;27,83;438
20425;Poggersdorf;12,51;225
20428;St. Margareten im Rosental;11,03;64
20432;Schiefling am Wörthersee;16,49;248
20435;Techelsberg am Wörther See;14,82;185
20441;Zell;17,65;57
20442;Magdalensberg;15,22;283
20501;Althofen;10,52;276
20502;Brückl;9,57;147
20503;Deutsch-Griffen;5,47;26
20504;Eberstein;9,16;60
20505;Friesach;11,72;306
20506;Glödnitz;8,76;39
20508;Gurk;8,2;53
20509;Guttaring;12,56;104
20511;Hüttenberg;5,95;44
20512;Kappel am Krappfeld;11,98;127
20513;Klein St. Paul;8,31;75
20515;Liebenfels;12,91;234
20518;Metnitz;9,56;96
20519;Micheldorf;8,03;44
20520;Mölbling;12;87
20523;St. Georgen am Längsee;17,35;345
20527;St. Veit an der Glan;14,33;975
20530;Straßburg;10,28;107
20531;Weitensfeld im Gurktal;9,29;101
20534;Frauenstein;18,87;364
20601;Bad Kleinkirchheim;12,7;120
20602;Baldramsdorf;6,68;70
20603;Berg im Drautal;11,71;80
20604;Dellach im Drautal;8,47;71
20605;Großkirchheim;7,89;54
20607;Flattach;5,51;36
20608;Gmünd in Kärnten;10,55;143
20609;Greifenburg;9,25;85
20610;Heiligenblut am Großglockner;8,18;41
20611;Irschen;7,77;83
20613;Kleblach-Lind;8,95;56
20616;Lendorf;10,93;106
20618;Mallnitz;11,96;47
20619;Malta;7,18;77
20620;Millstatt am See;17,33;317
20622;Mörtschach;7,16;33
20624;Mühldorf;8,12;42
20625;Oberdrauburg;7,68;47
20627;Obervellach;9,1;106
20630;Radenthein;9,53;295
20631;Rangersdorf;4,89;45
20632;Rennweg am Katschberg;7,52;72
20633;Sachsenburg;8,51;60
20634;Seeboden am Millstätter See;17,26;587
