municipality_id;municipality_name;salaries
10101;Eisenstadt;49,246
10201;Rust;41,716
10301;Breitenbrunn am Neusiedler See;53,195
10302;Donnerskirchen;44,686
10303;Großhöflein;49,422
10304;Hornstein;44,949
10305;Klingenbach;43,714
10306;Leithaprodersdorf;43,566
10307;Mörbisch am See;40,015
10308;Müllendorf;49,352
10309;Neufeld an der Leitha;46,724
10310;Oggau am Neusiedler See;44,078
10311;Oslip;47,679
10312;Purbach am Neusiedler See;47,081
10313;Sankt Margarethen im Burgenland;44,792
10314;Schützen am Gebirge;44,713
10315;Siegendorf;44,382
10316;Steinbrunn;47,409
10317;Trausdorf an der Wulka;49,294
10318;Wimpassing an der Leitha;45,544
10319;Wulkaprodersdorf;45,202
10320;Loretto;45,169
10321;Stotzing;41,222
10322;Zillingtal;47,374
10323;Zagersdorf;45,376
10401;Bocksdorf;38,58
10402;Burgauberg-Neudauberg;37,45
10403;Eberau;39,906
10404;Gerersdorf-Sulz;39,422
10405;Güssing;42,466
10406;Güttenbach;41,804
10407;Heiligenbrunn;40,555
10408;Kukmirn;39,525
10409;Neuberg im Burgenland;40,072
10410;Neustift bei Güssing;37,59
10411;Olbendorf;44,112
10412;Ollersdorf im Burgenland;42,03
10413;Sankt Michael im Burgenland;44,508
10414;Stegersbach;42,467
10415;Stinatz;46,301
10416;Strem;40,76
10417;Tobaj;38,419
10418;Hackerberg;40,38
10419;Wörterberg;42,14
10420;Großmürbisch;43,041
10421;Inzenhof;36,694
10422;Kleinmürbisch;38,581
10423;Tschanigraben;39,104
10424;Heugraben;40,709
10425;Rohr im Burgenland;36,693
10426;Bildein;38,263
10427;Rauchwart;44,35
10428;Moschendorf;41,711
10501;Deutsch Kaltenbrunn;38,05
10502;Eltendorf;41,024
10503;Heiligenkreuz im Lafnitztal;40,473
10504;Jennersdorf;39,399
10505;Minihof-Liebau;37,64
10506;Mogersdorf;37,68
10507;Neuhaus am Klausenbach;38,461
10508;Rudersdorf;39,915
10509;Sankt Martin an der Raab;39,123
10510;Weichselbaum;38,914
10511;Königsdorf;39,781
10512;Mühlgraben;49,414
10601;Draßburg;45,484
10602;Forchtenstein;43,382
10603;Hirm;43,703
10604;Loipersbach im Burgenland;40,061
10605;Marz;43,333
10606;Mattersburg;42,816
10607;Neudörfl;42,142
10608;Pöttelsdorf;44,174
10609;Pöttsching;45,204
10610;Rohrbach bei Mattersburg;41,807
10611;Bad Sauerbrunn;44,519
10612;Schattendorf;44,448
10613;Sieggraben;42,096
10614;Sigleß;44,655
10615;Wiesen;44,923
