municipality_id;Gebietsname;eligible_voters;retrieved;invalid;valid;FPOE;FPOE_per
10000;Burgenland;233182;189911;2850;187061;32448;17.34621327
10100;Eisenstadt Stadt;10798;8574;89;8485;1162;13.69475545
10101;Eisenstadt;10798;7192;78;7114;1023;14.38009559
10200;Rust Stadt;1594;1276;21;1255;239;19.0438247
10201;Rust;1594;1055;18;1037;209;20.15429122
10300;Eisenstadt - Umgebung;34307;28264;448;27816;4327;15.55579523
10301;Breitenbrunn am Neusiedler See;1582;1137;27;1110;149;13.42342342
10302;Donnerskirchen;1535;1076;17;1059;200;18.88574127
10303;Großhöflein;1676;1164;25;1139;183;16.0667252
10304;Hornstein;2397;1647;34;1613;267;16.55300682
10305;Klingenbach;870;635;9;626;86;13.73801917
10306;Leithaprodersdorf;965;710;11;699;87;12.44635193
10307;Mörbisch am See;1821;1347;21;1326;262;19.7586727
10308;Müllendorf;1146;868;16;852;108;12.67605634
10309;Neufeld an der Leitha;2642;1868;28;1840;343;18.64130435
10310;Oggau am Neusiedler See;1471;1149;25;1124;164;14.59074733
10311;Oslip;1021;751;14;737;90;12.21166893
10312;Purbach am Neusiedler See;2387;1597;25;1572;283;18.00254453
10313;Sankt Margarethen im Burgenland;2298;1666;26;1640;303;18.47560976
10314;Schützen am Gebirge;1108;849;18;831;112;13.47773767
10315;Siegendorf;2270;1634;29;1605;259;16.13707165
10316;Steinbrunn;2099;1503;16;1487;249;16.74512441
10317;Trausdorf an der Wulka;1658;1150;11;1139;171;15.01316945
10318;Wimpassing an der Leitha;1226;851;12;839;172;20.50059595
10319;Wulkaprodersdorf;1486;1123;24;1099;105;9.554140127
10320;Loretto;411;283;1;282;48;17.0212766
10321;Stotzing;645;470;8;462;76;16.45021645
10322;Zillingtal;761;527;7;520;84;16.15384615
10323;Zagersdorf;832;595;9;586;73;12.45733788
10400;Güssing;21151;17336;227;17109;2828;16.52931206
10401;Bocksdorf;674;488;4;484;104;21.48760331
10402;Burgauberg-Neudauberg;1097;771;13;758;163;21.50395778
10403;Eberau;722;495;7;488;68;13.93442623
10404;Gerersdorf-Sulz;834;601;4;597;83;13.90284757
10405;Güssing;2954;1969;33;1936;314;16.21900826
10406;Güttenbach;725;510;10;500;61;12.2
10407;Heiligenbrunn;651;455;7;448;66;14.73214286
10408;Kukmirn;1651;1122;21;1101;224;20.34514078
10409;Neuberg im Burgenland;833;576;6;570;73;12.80701754
10410;Neustift bei Güssing;412;268;3;265;56;21.13207547
10411;Olbendorf;1200;836;19;817;185;22.64381885
10412;Ollersdorf im Burgenland;805;649;10;639;95;14.86697966
10413;Sankt Michael im Burgenland;811;617;9;608;106;17.43421053
10414;Stegersbach;2091;1419;15;1404;260;18.51851852
10415;Stinatz;940;652;7;645;34;5.271317829
10416;Strem;762;537;9;528;90;17.04545455
10417;Tobaj;1112;808;9;799;166;20.77596996
10418;Hackerberg;287;203;2;201;26;12.93532338
10419;Wörterberg;396;290;3;287;47;16.37630662
10420;Großmürbisch;212;149;1;148;10;6.756756757
10421;Inzenhof;252;197;2;195;31;15.8974359
10422;Kleinmürbisch;205;134;3;131;21;16.03053435
10423;Tschanigraben;54;38;1;37;5;13.51351351
10424;Heugraben;187;152;1;151;32;21.19205298
10425;Rohr im Burgenland;327;241;1;240;50;20.83333333
10426;Bildein;261;214;1;213;36;16.90140845
10427;Rauchwart;371;279;8;271;71;26.19926199
10428;Moschendorf;325;257;4;253;34;13.43873518
10500;Jennersdorf;14311;11323;166;11157;2366;21.2064175
10501;Deutsch Kaltenbrunn;1470;965;19;946;191;20.19027484
10502;Eltendorf;791;533;5;528;126;23.86363636
10503;Heiligenkreuz im Lafnitztal;966;632;8;624;131;20.99358974
10504;Jennersdorf;3465;2257;32;2225;619;27.82022472
10505;Minihof-Liebau;879;633;10;623;141;22.63242376
10506;Mogersdorf;915;650;10;640;132;20.625
10507;Neuhaus am Klausenbach;754;498;5;493;93;18.86409736
10508;Rudersdorf;1835;1214;23;1191;227;19.05961377
10509;Sankt Martin an der Raab;1715;1277;22;1255;246;19.60159363
10510;Weichselbaum;586;447;11;436;85;19.49541284
10511;Königsdorf;611;453;6;447;89;19.91051454
10512;Mühlgraben;324;237;6;231;38;16.45021645
10600;Mattersburg;31587;25758;400;25358;4230;16.68112627
10601;Draßburg;939;624;7;617;74;11.99351702
10602;Forchtenstein;2253;1593;20;1573;285;18.11824539
10603;Hirm;751;583;18;565;83;14.69026549
10604;Loipersbach im Burgenland;988;704;23;681;176;25.84434655
10605;Marz;1615;1208;24;1184;165;13.93581081
10606;Mattersburg;5767;3878;64;3814;661;17.33088621
10607;Neudörfl;3448;2331;35;2296;480;20.90592334
10608;Pöttelsdorf;621;396;5;391;56;14.32225064
10609;Pöttsching;2405;1739;19;1720;261;15.1744186
10610;Rohrbach bei Mattersburg;2130;1559;22;1537;232;15.09433962
10611;Bad Sauerbrunn;1772;1182;16;1166;233;19.98284734
10612;Schattendorf;1937;1494;36;1458;206;14.12894376
10613;Sieggraben;991;739;14;725;152;20.96551724
10614;Sigleß;964;765;5;760;102;13.42105263
10615;Wiesen;2203;1605;30;1575;354;22.47619048
10616;Antau;614;486;11;475;78;16.42105263
10617;Baumgarten;698;517;8;509;61;11.98428291
10618;Zemendorf-Stöttera;1008;712;9;703;94;13.371266
10619;Krensdorf;483;350;8;342;61;17.83625731
10700;Neusiedl am See;45429;36582;580;36002;6451;17.91844898
10701;Andau;1919;1452;18;1434;299;20.85076709
10702;Apetlon;1525;1142;15;1127;170;15.08429459
10703;Bruckneudorf;2368;1532;21;1511;371;24.55327598
10704;Deutsch Jahrndorf;443;346;7;339;74;21.82890855
10705;Frauenkirchen;2350;1566;34;1532;272;17.75456919
10706;Gattendorf;951;716;12;704;147;20.88068182
10707;Gols;3133;2228;40;2188;468;21.38939671
10708;Halbturn;1594;1210;19;1191;223;18.72376154
10709;Illmitz;2053;1617;21;1596;242;15.16290727
10710;Jois;1268;895;15;880;172;19.54545455
10711;Kittsee;1508;1002;16;986;153;15.51724138
10712;Mönchhof;1828;1289;27;1262;234;18.54199683
10713;Neusiedl am See;6233;3952;57;3895;623;15.99486521
10714;Nickelsdorf;1254;887;15;872;191;21.90366972
10715;Pama;858;656;9;647;55;8.500772798
10716;Pamhagen;1365;914;11;903;120;13.28903654
10717;Parndorf;3286;2060;39;2021;466;23.05789213
10718;Podersdorf am See;1755;1281;26;1255;190;15.13944223
10719;Sankt Andrä am Zicksee;1127;878;9;869;148;17.0310702
10720;Tadten;1009;753;8;745;84;11.27516779
10721;Wallern im Burgenland;1421;1099;25;1074;208;19.36685289
10722;Weiden am See;1933;1382;21;1361;273;20.05878031
10723;Winden am See;1077;719;18;701;117;16.69044223
10724;Zurndorf;1677;1278;32;1246;333;26.72552167
10725;Neudorf;563;399;5;394;53;13.45177665
10726;Potzneusiedl;434;324;4;320;72;22.5
10727;Edelstal;497;356;3;353;51;14.44759207
10800;Oberpullendorf;30701;25504;406;25098;3628;14.45533509
10801;Deutschkreutz;2522;1780;24;1756;271;15.43280182
10802;Draßmarkt;1136;847;13;834;81;9.712230216
10803;Frankenau-Unterpullendorf;922;653;7;646;69;10.68111455
10804;Großwarasdorf;1164;807;9;798;90;11.27819549
10805;Horitschon;1464;1087;16;1071;182;16.99346405
10806;Kaisersdorf;480;361;5;356;47;13.20224719
10807;Kobersdorf;1550;1172;16;1156;216;18.68512111
10808;Lackenbach;929;632;11;621;108;17.39130435
10809;Lockenhaus;1649;1133;21;1112;195;17.53597122
10810;Lutzmannsburg;704;524;4;520;93;17.88461538
10811;Mannersdorf an der Rabnitz;1477;1108;27;1081;209;19.33395005
10812;Markt Sankt Martin;990;776;17;759;113;14.88801054
10813;Neckenmarkt;1412;1069;10;1059;144;13.59773371
10814;Neutal;894;715;14;701;92;13.12410842
10815;Nikitsch;1154;812;11;801;74;9.238451935
10816;Oberpullendorf;2501;1463;29;1434;224;15.62064156
10817;Pilgersdorf;1385;1026;22;1004;135;13.44621514
10818;Piringsdorf;712;542;11;531;54;10.16949153
10819;Raiding;742;485;11;474;44;9.282700422
10820;Ritzing;747;536;12;524;92;17.55725191
