municipality_id,municipality_name,pensions,sh_pop_0_14,pop_0_14,sh_pop_15_29,pop_15_29,sh_pop_30_44,pop_40_44,sh_pop_45_59,pop_45_59,sh_pop_60_74,pop_60_74,sh_pop_75_99,pop_75_99,sh_pop_bms_bhs,pop_bms_bhs,sh_pop_foreign,pop_foreign,sh_pop_lehre,pop_lehre,sh_pop_pflichtschule,pop_pflichtschule,sh_pop_uni,pop_uni,salaries,municipality_population,dose_1,dose_2,dose_3,vaccine_skeptic,type_urban_rural,FPOE,FPOE_per,dose_1_sh,dose_2_sh,dose_3_sh
10101,Eisenstadt,32.774,13.86,2064,16.19,2412,20.8,3098,22.08,3289,17.23,2566,9.84,1466,35.94,3000,15.67,2334,25.02,2089,12.59,1051,"26,45",2.208,49.246,14895,12145,11767,8698,1.0,2.0,1023,14.38009559,0.8153742866733803,0.7899966431688487,0.5839543470963411
10201,Rust,24.956,12.45,249,14.15,283,18.1,362,22.2,444,19.35,387,13.75,275,33.59,346,7.9,158,40.0,412,13.79,142,"12,62",130,41.716,2000,1651,1609,1195,0.0,3.0,209,20.15429122,0.8255,0.8045,0.5975
10301,Breitenbrunn am Neusiedler See,30.022,10.99,207,12.0,226,16.04,302,24.85,468,22.25,419,13.86,261,37.15,376,6.64,125,35.97,364,9.68,98,"17,19",174,53.195,1883,1562,1530,1223,0.0,3.0,149,13.42342342,0.8295273499734467,0.8125331917153479,0.6494954859267127
10302,Donnerskirchen,27.442,12.17,224,13.04,240,19.66,362,23.25,428,21.51,396,10.37,191,38.58,397,6.79,125,35.96,370,10.59,109,"14,87",153,44.686,1841,1545,1506,1165,0.0,3.0,200,18.88574127,0.8392178164041282,0.8180336773492667,0.6328082563824009
10303,Großhöflein,30.0,14.56,309,13.9,295,20.17,428,24.51,520,18.47,392,8.39,178,37.6,464,6.27,133,32.41,400,12.4,153,"17,59",217,49.422,2122,1760,1703,1287,0.0,2.0,183,16.0667252,0.8294062205466541,0.8025447690857681,0.6065032987747409
10304,Hornstein,29.246,13.92,442,13.57,431,19.93,633,23.36,742,19.4,616,9.82,312,38.91,679,11.78,374,30.09,525,14.33,250,"16,68",291,44.949,3176,2597,2550,1896,0.0,3.0,267,16.55300682,0.8176952141057935,0.802896725440806,0.5969773299748111
10305,Klingenbach,25.814,12.92,158,13.57,166,19.05,233,25.18,308,19.87,243,9.4,115,38.91,265,18.15,222,32.31,220,16.89,115,"11,89",81,43.714,1223,929,889,664,0.0,3.0,86,13.73801917,0.759607522485691,0.7269010629599346,0.5429272281275552
10306,Leithaprodersdorf,26.12,15.94,194,16.35,199,19.72,240,23.66,288,16.76,204,7.56,92,41.18,280,5.09,62,34.85,237,9.85,67,"14,12",96,43.566,1217,1055,1023,778,0.0,3.0,87,12.44635193,0.866885784716516,0.8405916187345933,0.6392769104354972
10307,Mörbisch am See,22.71,11.94,266,13.46,300,16.74,373,22.49,501,22.85,509,12.52,279,34.93,393,7.85,175,39.73,447,14.49,163,"10,84",122,40.015,2228,1872,1822,1410,0.0,3.0,262,19.7586727,0.8402154398563735,0.8177737881508079,0.6328545780969479
10308,Müllendorf,29.97,12.86,178,15.1,209,18.14,251,26.01,360,18.35,254,9.54,132,36.19,283,6.21,86,29.03,227,14.71,115,"20,08",157,49.352,1384,1161,1135,849,0.0,2.0,108,12.67605634,0.8388728323699421,0.8200867052023122,0.6134393063583815
10309,Neufeld an der Leitha,28.897,14.97,537,15.11,542,18.87,677,24.0,861,17.28,620,9.76,350,37.66,716,9.37,336,30.3,576,15.04,286,"16,99",323,46.724,3587,2871,2776,2033,0.0,2.0,343,18.64130435,0.8003902982994145,0.7739057708391414,0.5667688876498467
10310,Oggau am Neusiedler See,24.984,11.85,206,13.18,229,18.01,313,22.55,392,22.78,396,11.62,202,32.37,304,3.91,68,39.62,372,16.4,154,"11,61",109,44.078,1738,1511,1473,1180,0.0,3.0,164,14.59074733,0.8693901035673187,0.8475258918296893,0.6789413118527042
10311,Oslip,25.512,11.57,147,13.38,170,16.99,216,25.1,319,22.97,292,9.99,127,35.82,245,7.95,101,32.89,225,15.94,109,"15,35",105,47.679,1271,1098,1077,834,0.0,3.0,90,12.21166893,0.8638867033831629,0.8473642800944139,0.6561762391817466
10312,Purbach am Neusiedler See,26.898,13.0,377,12.73,369,17.94,520,25.97,753,19.35,561,11.0,319,37.06,606,6.48,188,36.94,604,12.35,202,"13,64",223,47.081,2899,2430,2342,1796,0.0,3.0,283,18.00254453,0.8382200758882373,0.8078647809589513,0.6195239737840634
10313,Sankt Margarethen im Burgenland,24.527,10.62,285,13.49,362,17.74,476,25.61,687,22.03,591,10.51,282,34.95,527,4.17,112,38.4,579,12.53,189,"14,12",213,44.792,2683,2239,2180,1671,0.0,3.0,303,18.47560976,0.8345136041744317,0.8125232948192322,0.6228102869921729
10314,Schützen am Gebirge,27.082,13.27,188,14.54,206,16.94,240,23.99,340,20.61,292,10.66,151,37.05,279,9.32,132,30.81,232,13.55,102,"18,59",140,44.713,1417,1181,1164,899,0.0,3.0,112,13.47773767,0.8334509527170078,0.821453775582216,0.634438955539873
10315,Siegendorf,28.054,13.5,421,14.21,443,20.27,632,23.41,730,18.41,574,10.2,318,33.8,575,15.52,484,34.74,591,16.87,287,"14,58",248,44.382,3118,2501,2417,1778,0.0,3.0,259,16.13707165,0.8021167415009621,0.7751763951250802,0.5702373316228352
10316,Steinbrunn,28.796,15.45,453,14.6,428,20.43,599,24.01,704,15.28,448,10.23,300,36.2,548,9.14,268,34.87,528,12.02,182,"16,91",256,47.409,2932,2386,2295,1664,0.0,3.0,249,16.74512441,0.8137789904502046,0.7827421555252387,0.567530695770805
10317,Trausdorf an der Wulka,29.742,13.4,277,11.27,233,18.34,379,24.33,503,20.75,429,11.9,246,39.01,449,7.55,156,31.54,363,9.3,107,"20,16",232,49.294,2067,1774,1720,1360,0.0,3.0,171,15.01316945,0.8582486695694242,0.8321238509917755,0.6579583938074504
10318,Wimpassing an der Leitha,29.367,19.27,328,12.69,216,24.74,421,22.91,390,15.33,261,5.05,86,39.01,394,9.22,157,35.64,360,12.38,125,"12,97",131,45.544,1702,1268,1225,907,0.0,3.0,172,20.50059595,0.745005875440658,0.7197414806110458,0.5329024676850764
10319,Wulkaprodersdorf,29.179,16.15,320,13.67,271,19.07,378,22.7,450,19.22,381,9.18,182,38.33,417,12.11,240,30.42,331,14.34,156,"16,91",184,45.202,1982,1580,1524,1103,0.0,3.0,105,9.554140127,0.7971745711402624,0.768920282542886,0.5565085771947528
10320,Loretto,32.049,10.5,50,11.55,55,18.28,87,27.94,133,19.54,93,12.18,58,42.31,121,3.36,16,38.81,111,9.44,27,"9,44",27,45.169,476,396,383,290,0.0,3.0,48,17.0212766,0.8319327731092437,0.8046218487394958,0.6092436974789915
10321,Stotzing,23.527,16.65,137,13.97,115,20.9,172,23.21,191,17.01,140,8.26,68,33.92,154,8.26,68,43.83,199,14.76,67,"7,49",34,41.222,823,649,631,494,0.0,3.0,76,16.45021645,0.7885783718104495,0.7667071688942891,0.6002430133657352
10322,Zillingtal,27.405,13.22,131,15.04,149,17.05,169,28.56,283,18.77,186,7.37,73,40.03,235,10.7,106,33.73,198,12.61,74,"13,63",80,47.374,991,786,774,602,0.0,3.0,84,16.15384615,0.79313824419778,0.781029263370333,0.6074672048435923
10323,Zagersdorf,25.462,14.08,155,13.44,148,17.71,195,24.07,265,18.62,205,12.08,133,37.71,221,12.08,133,29.52,173,12.97,76,"19,8",116,45.376,1101,918,893,683,0.0,3.0,73,12.45733788,0.8337874659400545,0.8110808356039964,0.620345140781108
10401,Bocksdorf,24.133,12.88,105,14.72,120,17.3,141,21.96,179,20.61,168,12.52,102,32.54,136,3.68,30,44.26,185,16.99,71,"6,22",26,38.58,815,642,619,462,0.0,3.0,104,21.48760331,0.7877300613496933,0.7595092024539877,0.5668711656441717
10402,Burgauberg-Neudauberg,22.731,12.22,163,15.29,204,16.34,218,27.14,362,18.59,248,10.42,139,31.28,233,5.17,69,42.55,317,17.45,130,"8,72",65,37.45,1334,1004,964,661,0.0,3.0,163,21.50395778,0.7526236881559221,0.7226386806596702,0.4955022488755622
10403,Eberau,24.075,12.72,118,10.24,95,16.38,152,20.91,194,26.19,243,13.58,126,34.55,161,11.53,107,31.55,147,20.6,96,"13,3",62,39.906,928,736,723,562,0.0,3.0,68,13.93442623,0.7931034482758621,0.7790948275862069,0.6056034482758621
10404,Gerersdorf-Sulz,23.503,11.76,118,11.86,119,15.55,156,22.93,230,24.33,244,13.56,136,33.71,178,7.28,73,36.17,191,19.51,103,"10,61",56,39.422,1003,840,823,626,0.0,3.0,83,13.90284757,0.8374875373878365,0.8205383848454636,0.6241276171485544
10405,Güssing,26.249,11.6,425,13.26,486,15.61,572,23.22,851,22.56,827,13.75,504,31.94,605,10.94,401,31.26,592,20.22,383,"16,58",314,42.466,3665,2970,2888,2262,0.0,3.0,314,16.21900826,0.810368349249659,0.7879945429740791,0.6171896316507504
10406,Güttenbach,22.04,9.74,86,10.99,97,16.76,148,23.78,210,24.46,216,14.27,126,34.46,173,9.4,83,31.47,158,21.51,108,"12,55",63,41.804,883,756,745,560,0.0,3.0,61,12.2,0.8561721404303511,0.8437146092865232,0.6342015855039638
10407,Heiligenbrunn,21.629,11.16,83,10.08,75,15.32,114,25.27,188,27.69,206,10.48,78,29.21,118,5.11,38,33.91,137,25.74,104,"11,14",45,40.555,744,597,581,453,0.0,3.0,66,14.73214286,0.8024193548387096,0.7809139784946236,0.6088709677419355
10408,Kukmirn,23.205,12.89,259,12.2,245,17.42,350,22.5,452,23.84,479,11.15,224,33.05,352,6.47,130,35.02,373,20.0,213,"11,92",127,39.525,2009,1511,1436,1081,0.0,3.0,224,20.34514078,0.7521154803384769,0.7147834743653559,0.5380786460925834
10409,Neuberg im Burgenland,22.11,10.64,103,12.6,122,17.56,170,25.93,251,22.11,214,11.16,108,37.57,210,3.41,33,38.1,213,17.89,100,"6,44",36,40.072,968,774,749,591,0.0,3.0,73,12.80701754,0.7995867768595041,0.7737603305785123,0.6105371900826446
10410,Neustift bei Güssing,21.26,6.95,31,10.31,46,10.31,46,29.15,130,27.58,123,15.7,70,22.87,59,6.5,29,44.57,115,24.81,64,"7,75",20,37.59,446,362,357,262,0.0,3.0,56,21.13207547,0.8116591928251121,0.8004484304932735,0.5874439461883408
10411,Olbendorf,24.168,13.04,190,11.19,163,18.39,268,21.69,316,23.68,345,12.01,175,33.12,262,5.77,84,39.7,314,18.58,147,"8,6",68,44.112,1457,1116,1064,767,0.0,3.0,185,22.64381885,0.7659574468085106,0.730267673301304,0.5264241592312972
10412,Ollersdorf im Burgenland,24.047,8.9,82,13.46,124,15.74,145,28.12,259,22.37,206,11.4,105,36.16,192,4.67,43,37.29,198,16.38,87,"10,17",54,42.03,921,753,721,533,0.0,3.0,95,14.86697966,0.8175895765472313,0.7828447339847991,0.5787187839305103
10413,Sankt Michael im Burgenland,23.862,10.94,108,11.75,116,14.89,147,25.43,251,24.52,242,12.46,123,37.36,195,7.19,71,35.63,186,14.18,74,"12,84",67,44.508,987,768,743,570,1.0,3.0,106,17.43421053,0.7781155015197568,0.7527862208713273,0.5775075987841946
10414,Stegersbach,25.971,12.76,343,15.14,407,17.19,462,24.0,645,19.79,532,11.12,299,34.1,492,11.16,300,32.29,466,20.93,302,"12,68",183,42.467,2688,2089,2009,1449,0.0,3.0,260,18.51851852,0.7771577380952381,0.7473958333333334,0.5390625
10415,Stinatz,23.944,11.49,140,15.68,191,16.34,199,23.89,291,21.76,265,10.84,132,35.76,236,14.2,173,30.61,202,18.94,125,"14,7",97,46.301,1218,1002,975,731,0.0,3.0,34,5.271317829,0.8226600985221675,0.8004926108374384,0.6001642036124795
