municipality_id;municipality_name;type_urban_rural
10101;Eisenstadt;2
10201;Rust;3
10301;Breitenbrunn am Neusiedler See;3
10302;Donnerskirchen;3
10303;Großhöflein;2
10304;Hornstein;3
10305;Klingenbach;3
10306;Leithaprodersdorf;3
10307;Mörbisch am See;3
10308;Müllendorf;2
10309;Neufeld an der Leitha;2
10310;Oggau am Neusiedler See;3
10311;Oslip;3
10312;Purbach am Neusiedler See;3
10313;Sankt Margarethen im Burgenland;3
10314;Schützen am Gebirge;3
10315;Siegendorf;3
10316;Steinbrunn;3
10317;Trausdorf an der Wulka;3
10318;Wimpassing an der Leitha;3
10319;Wulkaprodersdorf;3
10320;Loretto;3
10321;Stotzing;3
10322;Zillingtal;3
10323;Zagersdorf;3
10401;Bocksdorf;3
10402;Burgauberg-Neudauberg;3
10403;Eberau;3
10404;Gerersdorf-Sulz;3
10405;Güssing;3
10406;Güttenbach;3
10407;Heiligenbrunn;3
10408;Kukmirn;3
10409;Neuberg im Burgenland;3
10410;Neustift bei Güssing;3
10411;Olbendorf;3
10412;Ollersdorf im Burgenland;3
10413;Sankt Michael im Burgenland;3
10414;Stegersbach;3
10415;Stinatz;3
10416;Strem;3
10417;Tobaj;3
10418;Hackerberg;3
10419;Wörterberg;3
10420;Großmürbisch;3
10421;Inzenhof;3
10422;Kleinmürbisch;3
10423;Tschanigraben;3
10424;Heugraben;3
10425;Rohr im Burgenland;3
10426;Bildein;3
10427;Rauchwart;3
10428;Moschendorf;3
10501;Deutsch Kaltenbrunn;3
10502;Eltendorf;3
10503;Heiligenkreuz im Lafnitztal;3
10504;Jennersdorf;3
10505;Minihof-Liebau;3
10506;Mogersdorf;3
10507;Neuhaus am Klausenbach;3
10508;Rudersdorf;3
10509;Sankt Martin an der Raab;3
10510;Weichselbaum;3
10511;Königsdorf;3
10512;Mühlgraben;3
10601;Draßburg;3
10602;Forchtenstein;3
10603;Hirm;3
10604;Loipersbach im Burgenland;3
10605;Marz;2
10606;Mattersburg;2
10607;Neudörfl;2
10608;Pöttelsdorf;2
10609;Pöttsching;3
10610;Rohrbach bei Mattersburg;2
10611;Bad Sauerbrunn;3
10612;Schattendorf;3
10613;Sieggraben;3
10614;Sigleß;3
10615;Wiesen;3
10616;Antau;2
10617;Baumgarten;3
10618;Zemendorf-Stöttera;2
10619;Krensdorf;3
10701;Andau;3
10702;Apetlon;3
10703;Bruckneudorf;3
10704;Deutsch Jahrndorf;3
10705;Frauenkirchen;3
10706;Gattendorf;3
10707;Gols;3
10708;Halbturn;3
10709;Illmitz;3
10710;Jois;3
10711;Kittsee;3
10712;Mönchhof;3
10713;Neusiedl am See;2
10714;Nickelsdorf;3
10715;Pama;3
10716;Pamhagen;3
10717;Parndorf;3
10718;Podersdorf am See;3
10719;Sankt Andrä am Zicksee;3
10720;Tadten;3
10721;Wallern im Burgenland;3
10722;Weiden am See;3
10723;Winden am See;3
10724;Zurndorf;3
10725;Neudorf;3
10726;Potzneusiedl;3
10727;Edelstal;3
10801;Deutschkreutz;3
10802;Draßmarkt;3
10803;Frankenau-Unterpullendorf;3
10804;Großwarasdorf;3
10805;Horitschon;3
10806;Kaisersdorf;3
10807;Kobersdorf;3
10808;Lackenbach;3
10809;Lockenhaus;3
10810;Lutzmannsburg;3
10811;Mannersdorf an der Rabnitz;3
10812;Markt Sankt Martin;3
10813;Neckenmarkt;3
10814;Neutal;3
10815;Nikitsch;3
10816;Oberpullendorf;3
10817;Pilgersdorf;3
10818;Piringsdorf;3
10819;Raiding;3
10820;Ritzing;3
10821;Steinberg-Dörfl;3
10822;Stoob;3
10823;Weppersdorf;3
10824;Lackendorf;3
10825;Unterfrauenhaid;3
10826;Unterrabnitz-Schwendgraben;3
10827;Weingraben;3
10828;Oberloisdorf;3
10901;Bad Tatzmannsdorf;3
10902;Bernstein;3
10903;Deutsch Schützen-Eisenberg;3
10904;Grafenschachen;3
10905;Großpetersdorf;3
10906;Hannersdorf;3
10907;Kemeten;3
10908;Kohfidisch;3
10909;Litzelsdorf;3
10910;Loipersdorf-Kitzladen;3
10911;Mariasdorf;3
10912;Markt Allhau;3
10913;Markt Neuhodis;3
10914;Mischendorf;3
10915;Oberdorf im Burgenland;3
10916;Oberschützen;3
10917;Oberwart;2
10918;Pinkafeld;2
10919;Rechnitz;3
10920;Riedlingsdorf;2
10921;Rotenturm an der Pinka;3
10922;Schachendorf;3
10923;Stadtschlaining;3
10924;Unterkohlstätten;3
10925;Unterwart;3
10926;Weiden bei Rechnitz;3
10927;Wiesfleck;3
10928;Wolfau;3
10929;Neustift an der Lafnitz;3
10930;Jabing;3
10931;Badersdorf;3
10932;Schandorf;3
20101;Klagenfurt am Wörthersee;1
20201;Villach;2
20302;Dellach;3
20305;Hermagor-Pressegger See;3
20306;Kirchbach;3
20307;Kötschach-Mauthen;3
20316;St. Stefan im Gailtal;3
20320;Gitschtal;3
20321;Lesachtal;3
20402;Ebenthal in Kärnten;3
20403;Feistritz im Rosental;3
20405;Ferlach;3
20409;Grafenstein;3
20412;Keutschach am See;3
20414;Köttmannsdorf;3
20415;Krumpendorf am Wörthersee;3
20416;Ludmannsdorf;3
20417;Maria Rain;3
20418;Maria Saal;3
20419;Maria Wörth;3
20421;Moosburg;3
20424;Pörtschach am Wörther See;3
20425;Poggersdorf;3
20428;St. Margareten im Rosental;3
20432;Schiefling am Wörthersee;3
20435;Techelsberg am Wörther See;3
20441;Zell;3
20442;Magdalensberg;3
20501;Althofen;3
20502;Brückl;3
20503;Deutsch-Griffen;3
20504;Eberstein;3
20505;Friesach;3
20506;Glödnitz;3
20508;Gurk;3
20509;Guttaring;3
20511;Hüttenberg;3
20512;Kappel am Krappfeld;3
20513;Klein St. Paul;3
20515;Liebenfels;3
20518;Metnitz;3
20519;Micheldorf;3
20520;Mölbling;3
20523;St. Georgen am Längsee;3
20527;St. Veit an der Glan;2
20530;Straßburg;3
20531;Weitensfeld im Gurktal;3
20534;Frauenstein;3
20601;Bad Kleinkirchheim;3
20602;Baldramsdorf;3
20603;Berg im Drautal;3
20604;Dellach im Drautal;3
20605;Großkirchheim;3
20607;Flattach;3
20608;Gmünd in Kärnten;3
20609;Greifenburg;3
20610;Heiligenblut am Großglockner;3
20611;Irschen;3
20613;Kleblach-Lind;3
20616;Lendorf;3
20618;Mallnitz;3
20619;Malta;3
20620;Millstatt am See;3
20622;Mörtschach;3
20624;Mühldorf;3
20625;Oberdrauburg;3
20627;Obervellach;3
20630;Radenthein;3
20631;Rangersdorf;3
20632;Rennweg am Katschberg;3
20633;Sachsenburg;3
20634;Seeboden am Millstätter See;2
20635;Spittal an der Drau;2
20636;Stall;3
20637;Steinfeld;3
20638;Trebesing;3
20639;Weißensee;3
20640;Winklern;3
20642;Krems in Kärnten;3
20643;Lurnfeld;3
20644;Reißeck;3
20701;Afritz am See;3
20702;Arnoldstein;3
20703;Arriach;3
20705;Bad Bleiberg;3
20707;Feistritz an der Gail;3
20708;Feld am See;3
20710;Ferndorf;3
20711;Finkenstein am Faaker See;3
20712;Fresach;3
20713;Hohenthurn;3
20719;Nötsch im Gailtal;3
20720;Paternion;3
20721;Rosegg;3
20722;St. Jakob im Rosental;3
20723;Stockenboi;3
20724;Treffen am Ossiacher See;3
20725;Velden am Wörther See;3
20726;Weißenstein;3
20727;Wernberg;2
20801;Bleiburg;3
20802;Diex;3
20803;Eberndorf;3
20804;Eisenkappel-Vellach;3
20805;Feistritz ob Bleiburg;3
20806;Gallizien;3
20807;Globasnitz;3
20808;Griffen;3
20810;Neuhaus;3
20812;Ruden;3
20813;St. Kanzian am Klopeiner See;3
20815;Sittersdorf;3
20817;Völkermarkt;3
20901;Bad St. Leonhard im Lavanttal;3
20905;Frantschach-St. Gertraud;3
20909;Lavamünd;3
20911;Preitenegg;3
20912;Reichenfels;3
20913;St. Andrä;3
20914;St. Georgen im Lavanttal;3
20918;St. Paul im Lavanttal;3
20923;Wolfsberg;2
21001;Albeck;3
21002;Feldkirchen in Kärnten;2
21003;Glanegg;3
21004;Gnesau;3
21005;Himmelberg;3
21006;Ossiach;3
21007;Reichenau;3
21008;St. Urban;3
21009;Steindorf am Ossiacher See;3
21010;Steuerberg;3
30101;Krems an der Donau;2
30201;St. Pölten;2
30301;Waidhofen an der Ybbs;2
30401;Wiener Neustadt;2
30501;Allhartsberg;3
30502;Amstetten;2
30503;Ardagger;3
30504;Aschbach-Markt;3
30506;Behamberg;3
30507;Biberbach;3
30508;Ennsdorf;2
30509;Ernsthofen;3
30510;Ertl;3
30511;Euratsfeld;3
30512;Ferschnitz;3
30514;Haag;3
30515;Haidershofen;3
30516;Hollenstein an der Ybbs;3
30517;Kematen an der Ybbs;2
30520;Neuhofen an der Ybbs;3
30521;Neustadtl an der Donau;3
30522;Oed-Oehling;3
30524;Opponitz;3
30526;St. Georgen am Reith;3
30527;St. Georgen am Ybbsfelde;3
30529;St. Pantaleon-Erla;3
30530;St. Peter in der Au;3
30531;St. Valentin;2
30532;Seitenstetten;3
30533;Sonntagberg;2
30534;Strengberg;3
30536;Viehdorf;3
30538;Wallsee-Sindelburg;3
30539;Weistrach;3
30541;Winklarn;3
30542;Wolfsbach;3
30543;Ybbsitz;3
30544;Zeillern;3
30601;Alland;3
30602;Altenmarkt an der Triesting;3
30603;Bad Vöslau;2
30604;Baden;2
30605;Berndorf;2
30607;Ebreichsdorf;2
30608;Enzesfeld-Lindabrunn;2
30609;Furth an der Triesting;3
30612;Günselsdorf;2
30613;Heiligenkreuz;3
30614;Hernstein;3
30615;Hirtenberg;2
30616;Klausen-Leopoldsdorf;3
30618;Kottingbrunn;2
30620;Leobersdorf;2
30621;Mitterndorf an der Fischa;3
30623;Oberwaltersdorf;2
30625;Pfaffstätten;2
30626;Pottendorf;3
30627;Pottenstein;3
30629;Reisenberg;3
30631;Schönau an der Triesting;2
30633;Seibersdorf;3
30635;Sooß;2
30636;Tattendorf;2
30637;Teesdorf;2
30639;Traiskirchen;2
30641;Trumau;2
30645;Weissenbach an der Triesting;3
30646;Blumau-Neurißhof;3
30701;Au am Leithaberge;3
30702;Bad Deutsch-Altenburg;3
30703;Berg;3
30704;Bruck an der Leitha;2
30706;Enzersdorf an der Fischa;2
30708;Göttlesbrunn-Arbesthal;3
30709;Götzendorf an der Leitha;3
30710;Hainburg a.d. Donau;2
30711;Haslau-Maria Ellend;3
30712;Höflein;3
30713;Hof am Leithaberge;3
30715;Hundsheim;3
30716;Mannersdorf am Leithagebirge;3
30718;Petronell-Carnuntum;3
30719;Prellenkirchen;3
30721;Rohrau;3
30722;Scharndorf;3
30724;Sommerein;3
30726;Trautmannsdorf an der Leitha;3
30728;Wolfsthal;3
30729;Ebergassing;3
30730;Fischamend;3
30731;Gramatneusiedl;3
30732;Himberg;2
30733;Klein-Neusiedl;2
30734;Lanzendorf;2
30735;Leopoldsdorf;2
30736;Maria-Lanzendorf;2
30737;Moosbrunn;3
30738;Rauchenwarth;3
30739;Schwadorf;2
30740;Schwechat;2
30741;Zwölfaxing;2
30801;Aderklaa;3
30802;Andlersdorf;3
30803;Angern an der March;3
30804;Auersthal;3
30805;Bad Pirawarth;3
30808;Deutsch-Wagram;2
30810;Drösing;3
30811;Dürnkrut;3
30812;Ebenthal;3
30813;Eckartsau;3
30814;Engelhartstetten;3
30817;Gänserndorf;2
30819;Glinzendorf;3
30821;Groß-Enzersdorf;2
30822;Großhofen;3
30824;Groß-Schweinbarth;3
30825;Haringsee;3
30826;Hauskirchen;3
30827;Hohenau an der March;3
30828;Hohenruppersdorf;3
30829;Jedenspeigen;3
30830;Lassee;3
30831;Leopoldsdorf im Marchfelde;3
30834;Mannsdorf an der Donau;3
30835;Marchegg;3
30836;Markgrafneusiedl;3
30838;Matzen-Raggendorf;3
30841;Neusiedl an der Zaya;3
30842;Obersiebenbrunn;3
30844;Orth an der Donau;3
30845;Palterndorf-Dobermannsdorf;3
30846;Parbasdorf;3
30848;Prottes;3
30849;Raasdorf;3
30850;Ringelsdorf-Niederabsdorf;3
30852;Schönkirchen-Reyersdorf;3
30854;Spannberg;3
30856;Strasshof an der Nordbahn;2
30857;Sulz im Weinviertel;3
30858;Untersiebenbrunn;3
30859;Velm-Götzendorf;3
30860;Weikendorf;3
30863;Zistersdorf;3
30865;Weiden an der March;3
30902;Amaliendorf-Aalfang;3
30903;Brand-Nagelberg;3
30904;Eggern;3
30906;Eisgarn;3
30908;Gmünd;2
30909;Großdietmanns;3
30910;Bad Großpertholz;3
30912;Großschönau;3
30913;Moorbad Harbach;3
30915;Haugschlag;3
30916;Heidenreichstein;3
30917;Hirschbach;3
30920;Hoheneich;3
30921;Kirchberg am Walde;3
30925;Litschau;3
30929;Reingers;3
30932;St. Martin;3
30935;Schrems;3
30939;Unserfrau-Altweitra;3
30940;Waldenstein;3
30942;Weitra;3
31001;Alberndorf im Pulkautal;3
31008;Göllersdorf;3
31009;Grabern;3
31014;Guntersdorf;3
31015;Hadres;3
31016;Hardegg;3
31018;Haugsdorf;3
31019;Heldenberg;3
31021;Hohenwarth-Mühlbach a.M.;3
31022;Hollabrunn;2
31025;Mailberg;3
31026;Maissau;3
31028;Nappersdorf-Kammersdorf;3
31033;Pernersdorf;3
31035;Pulkau;3
31036;Ravelsbach;3
31037;Retz;3
31038;Retzbach;3
31041;Schrattenthal;3
31042;Seefeld-Kadolz;3
31043;Sitzendorf an der Schmida;3
31051;Wullersdorf;3
31052;Zellerndorf;3
31053;Ziersdorf;3
31101;Altenburg;3
31102;Brunn an der Wild;3
31103;Burgschleinitz-Kühnring;3
31104;Drosendorf-Zissersdorf;3
31105;Eggenburg;3
31106;Gars am Kamp;3
31107;Geras;3
31109;Horn;2
31110;Irnfritz-Messern;3
31111;Japons;3
31113;Langau;3
31114;Meiseldorf;3
31117;Pernegg;3
31119;Röhrenbach;3
31120;Röschitz;3
31121;Rosenburg-Mold;3
31123;St. Bernhard-Frauenhofen;3
31124;Sigmundsherberg;3
31129;Weitersfeld;3
31130;Straning-Grafenberg;3
31201;Bisamberg;2
31202;Enzersfeld im Weinviertel;2
31203;Ernstbrunn;3
31204;Großmugl;3
31205;Großrußbach;3
31206;Hagenbrunn;2
31207;Harmannsdorf;3
31208;Hausleiten;3
31213;Korneuburg;2
31214;Langenzersdorf;2
31215;Leitzersdorf;3
31216;Leobendorf;3
31224;Rußbach;3
31226;Sierndorf;3
31227;Spillern;2
31228;Stetteldorf am Wagram;3
31229;Stetten;3
31230;Stockerau;2
31234;Niederhollabrunn;3
31235;Gerasdorf bei Wien;3
31301;Aggsbach;3
31302;Albrechtsberg an der Großen Krems;3
31303;Bergern im Dunkelsteinerwald;3
31304;Dürnstein;3
31308;Grafenegg;2
31309;Furth bei Göttweig;3
31310;Gedersdorf;3
31311;Gföhl;3
31315;Hadersdorf-Kammern;2
31319;Jaidhof;3
31321;Krumau am Kamp;3
31322;Langenlois;2
31323;Lengenfeld;3
31324;Lichtenau im Waldviertel;3
31326;Maria Laach am Jauerling;3
31327;Mautern an der Donau;2
31330;Mühldorf;3
31333;Paudorf;3
31336;Rastenfeld;3
31337;Rohrendorf bei Krems;2
31338;Rossatz-Arnsdorf;3
31340;St. Leonhard am Hornerwald;3
31343;Senftenberg;3
31344;Spitz;3
31346;Straß im Straßertale;3
31347;Stratzing;3
31350;Weinzierl am Walde;3
31351;Weißenkirchen in der Wachau;3
31355;Schönberg am Kamp;3
31356;Droß;3
31401;Annaberg;3
31402;Eschenau;3
31403;Hainfeld;3
31404;Hohenberg;3
31405;Kaumberg;3
31406;Kleinzell;3
31407;Lilienfeld;3
31408;Mitterbach am Erlaufsee;3
31409;Ramsau;3
31410;Rohrbach an der Gölsen;3
31411;St. Aegyd am Neuwalde;3
31412;St. Veit an der Gölsen;3
31413;Traisen;3
31414;Türnitz;3
31502;Artstetten-Pöbring;3
31503;Bergland;3
31504;Bischofstetten;3
31505;Blindenmarkt;3
31506;Dorfstetten;3
31507;Dunkelsteinerwald;3
31508;Erlauf;2
31509;Golling an der Erlauf;2
31511;Hofamt Priel;3
31513;Hürm;3
31514;Kilb;3
31515;Kirnberg an der Mank;3
31516;Klein-Pöchlarn;2
31517;Krummnußbaum;2
31519;Leiben;3
31520;Loosdorf;3
31521;Mank;3
31522;Marbach an der Donau;2
31523;Maria Taferl;3
31524;Melk;3
31525;Münichreith-Laimbach;3
31527;Neumarkt an der Ybbs;3
31528;Nöchling;3
31530;Persenbeug-Gottsdorf;2
31531;Petzenkirchen;2
31533;Pöchlarn;2
31534;Pöggstall;3
31535;Raxendorf;3
31537;Ruprechtshofen;3
31539;St. Leonhard am Forst;3
31540;St. Martin-Karlsbach;3
31541;St. Oswald;3
31542;Schönbühel-Aggsbach;3
31543;Schollach;3
31546;Weiten;3
31549;Ybbs an der Donau;2
31550;Zelking-Matzleinsdorf;3
31551;Texingtal;3
31552;Yspertal;3
31553;Emmersdorf an der Donau;3
31601;Altlichtenwarth;3
31603;Asparn an der Zaya;3
31604;Bernhardsthal;3
31605;Bockfließ;3
31606;Drasenhofen;3
31608;Falkenstein;3
31609;Fallbach;3
31611;Gaubitsch;3
31612;Gaweinstal;3
31613;Gnadendorf;3
31614;Großebersdorf;3
31615;Großengersdorf;3
31616;Großharras;3
31617;Großkrut;3
31620;Hausbrunn;3
31621;Herrnbaumgarten;3
31622;Hochleithen;3
31627;Kreuttal;3
31628;Kreuzstetten;3
31629;Laa an der Thaya;3
31630;Ladendorf;3
31633;Mistelbach;2
31634;Neudorf im Weinviertel;3
31636;Niederleis;3
31642;Pillichsdorf;2
31644;Poysdorf;3
31645;Rabensburg;3
31646;Schrattenberg;3
31649;Staatz;3
31650;Stronsdorf;3
31651;Ulrichskirchen-Schleinbach;3
31652;Unterstinkenbrunn;3
31653;Wildendürnbach;3
31654;Wilfersdorf;3
31655;Wolkersdorf im Weinviertel;2
31658;Ottenthal;3
31701;Achau;3
31702;Biedermannsdorf;2
31703;Breitenfurt bei Wien;2
31704;Brunn am Gebirge;2
31706;Gaaden;3
31707;Gießhübl;2
31709;Gumpoldskirchen;2
31710;Guntramsdorf;2
31711;Hennersdorf;2
31712;Hinterbrühl;2
31713;Kaltenleutgeben;3
31714;Laab im Walde;3
31715;Laxenburg;2
31716;Maria Enzersdorf;2
31717;Mödling;2
31718;Münchendorf;3
31719;Perchtoldsdorf;2
31723;Vösendorf;2
31725;Wiener Neudorf;2
31726;Wienerwald;3
31801;Altendorf;3
31802;Aspang-Markt;3
31803;Aspangberg-St. Peter;3
31804;Breitenau;2
31805;Breitenstein;3
31806;Buchbach;3
31807;Edlitz;3
31808;Enzenreith;2
31809;Feistritz am Wechsel;3
31810;Gloggnitz;2
31811;Grafenbach-St. Valentin;2
31812;Grimmenstein;3
31813;Grünbach am Schneeberg;3
31814;Kirchberg am Wechsel;3
31815;Mönichkirchen;3
31817;Natschbach-Loipersbach;2
31818;Neunkirchen;2
31820;Otterthal;3
31821;Payerbach;3
31823;Pitten;3
31825;Prigglitz;3
31826;Puchberg am Schneeberg;3
31827;Raach am Hochgebirge;3
31829;Reichenau an der Rax;3
31830;St. Corona am Wechsel;3
31831;St. Egyden am Steinfeld;3
31832;Scheiblingkirchen-Thernberg;3
31833;Schottwien;3
31834;Schrattenbach;3
31835;Schwarzau am Steinfeld;3
31836;Schwarzau im Gebirge;3
31837;Seebenstein;3
31838;Semmering;3
31839;Ternitz;2
31840;Thomasberg;3
31841;Trattenbach;3
31842;Bürg-Vöstenhof;3
31843;Warth;3
31844;Wartmannstetten;3
31845;Willendorf;3
31846;Wimpassing im Schwarzatale;2
31847;Würflach;3
31848;Zöbern;3
31849;Höflein an der Hohen Wand;3
31901;Altlengbach;3
31902;Asperhofen;3
31903;Böheimkirchen;3
31904;Brand-Laaben;3
31905;Eichgraben;3
31906;Frankenfels;3
31907;Gerersdorf;3
31909;Hofstetten-Grünau;3
31910;Hafnerbach;3
31911;Haunoldstein;3
31912;Herzogenburg;2
31913;Inzersdorf-Getzersdorf;3
31915;Kapelln;3
31916;Karlstetten;3
31917;Kasten bei Böheimkirchen;3
31918;Kirchberg an der Pielach;3
31919;Kirchstetten;3
31920;Loich;3
31921;Maria-Anzbach;2
31922;Markersdorf-Haindorf;3
31923;Michelbach;3
31925;Neidling;3
31926;Neulengbach;2
31927;Neustift-Innermanzing;3
31928;Nußdorf ob der Traisen;3
